sample	length	count_rep1	fraction_rep1	count_rep2	fraction_rep2	count_rep3	fraction_rep3	count_average	fraction_average	Ribosomes	CHX	strain
Total_Upf1-FLAG	15	9481	0.000925492621536675	9573	0.0009590525726713	10057	0.00121502029423377	9703.66666666667	0.00103318849614725	Total	+	UPF1-FLAG
Total_Upf1-FLAG	16	18044	0.00176137420767933	16071	0.00161004219110002	21000	0.00253708125473891	18371.6666666667	0.00196949921783942	Total	+	UPF1-FLAG
Total_Upf1-FLAG	17	17655	0.00172340177546989	15973	0.00160022424979407	17237	0.00208246045656831	16955	0.00180202882727742	Total	+	UPF1-FLAG
Total_Upf1-FLAG	18	12627	0.00123259100644907	11420	0.00114409071136595	10916	0.0013187989988919	11654.3333333333	0.00123182690556897	Total	+	UPF1-FLAG
Total_Upf1-FLAG	19	18326	0.00178890178064351	16084	0.00161134457106917	14008	0.00169235401030393	16139.3333333333	0.00169753345400554	Total	+	UPF1-FLAG
Total_Upf1-FLAG	20	66067	0.00644916369866718	50300	0.0050392086498868	33924	0.00409847354694108	50097	0.00519561529849835	Total	+	UPF1-FLAG
Total_Upf1-FLAG	21	165227	0.0161287173693324	99186	0.00993675843235929	54912	0.00663410504096299	106441.666666667	0.0108998602808849	Total	+	UPF1-FLAG
Total_Upf1-FLAG	22	196354	0.0191671952546369	103180	0.0103368896321137	53220	0.00642968877986688	117584.666666667	0.0119779245555392	Total	+	UPF1-FLAG
Total_Upf1-FLAG	23	120458	0.0117585687380092	75014	0.00751513315432622	43622	0.00527012183305812	79698	0.00818127457513117	Total	+	UPF1-FLAG
Total_Upf1-FLAG	24	72306	0.00705818684662281	69685	0.00698125755004696	54453	0.00657865169353798	65481.3333333333	0.00687269869673591	Total	+	UPF1-FLAG
Total_Upf1-FLAG	25	78399	0.00765295813056152	85198	0.00853539758554783	78355	0.00946633341500319	80650.6666666667	0.00855156304370418	Total	+	UPF1-FLAG
Total_Upf1-FLAG	26	109386	0.0106777698448909	119394	0.0119612580028745	118951	0.0143708739205927	115910.333333333	0.012336633922786	Total	+	UPF1-FLAG
Total_Upf1-FLAG	27	299509	0.0292367228756279	359987	0.0360646044581869	415256	0.0501684863579933	358250.666666667	0.0384899378972694	Total	+	UPF1-FLAG
Total_Upf1-FLAG	28	2383012	0.232618924484058	2930800	0.29361655489241	3135813	0.37884820860317	2816541.66666667	0.30169456265988	Total	+	UPF1-FLAG
Total_Upf1-FLAG	29	3858164	0.376616634814727	3897424	0.390455919146649	3044396	0.367803810647719	3599994.66666667	0.378292121536365	Total	+	UPF1-FLAG
Total_Upf1-FLAG	30	1949476	0.190299088056411	1543616	0.154644196805242	855272	0.103328312328717	1449454.66666667	0.149423865730123	Total	+	UPF1-FLAG
Total_Upf1-FLAG	31	531332	0.051866242546812	318125	0.0318707405913566	139863	0.0168973235967404	329773.333333333	0.0335447689116363	Total	+	UPF1-FLAG
Total_Upf1-FLAG	32	165702	0.0161750847351408	87062	0.00872213883650984	38628	0.00466677974800259	97130.6666666667	0.00985466777321775	Total	+	UPF1-FLAG
Total_Upf1-FLAG	33	50798	0.00495867252281616	28719	0.0028771577180139	19249	0.00232553700345091	32922	0.00338712241476032	Total	+	UPF1-FLAG
Total_Upf1-FLAG	34	20250	0.00197671401604448	12418	0.00124407341976728	10160	0.0012274640737213	14276	0.00148275050317769	Total	+	UPF1-FLAG
Total_Upf1-FLAG	35	11922	0.00116377207403863	8371	0.000838632517061678	7151	0.000863936573935139	9148	0.000955447055011815	Total	+	UPF1-FLAG
Total_Upf1-FLAG	36	7817	0.00076306041794665	6431	0.000644277352433838	5352	0.000646593279779172	6533.33333333333	0.000684643683386553	Total	+	UPF1-FLAG
Total_Upf1-FLAG	37	6444	0.000629034326883486	6666	0.000667820374953189	5354	0.000646834906565338	6154.66666666667	0.000647896536134005	Total	+	UPF1-FLAG
Total_Upf1-FLAG	38	6279	0.000612927768234235	6622	0.00066341231967297	4649	0.000561661464441961	5850	0.000612667184116389	Total	+	UPF1-FLAG
Total_Upf1-FLAG	39	7879	0.00076911257937849	7472	0.000748567933040839	5155	0.00062279304134186	6835.33333333333	0.000713491184587063	Total	+	UPF1-FLAG
Total_Upf1-FLAG	40	6223	0.000607461299844186	5836	0.00058466842307633	3543	0.000428041851692378	5200.66666666667	0.000540057191537631	Total	+	UPF1-FLAG
Total_Upf1-FLAG	41	3073	0.000299972452903934	2585	0.000258973247712871	1550	0.000187260759278348	2402.66666666667	0.000248735486631718	Total	+	UPF1-FLAG
Total_Upf1-FLAG	42	1420	0.000138614019890526	1258	0.000126030307784445	882	0.000106557412699034	1186.66666666667	0.000123733913458002	Total	+	UPF1-FLAG
Total_Upf1-FLAG	43	885	8.63897236641659e-05	991	9.92814268794796e-05	652	7.87703322899889e-05	842.666666666667	8.81471609445448e-05	Total	+	UPF1-FLAG
Total_Upf1-FLAG	44	517	5.04672171009873e-05	699	7.0027969110753e-05	560	6.76555001263708e-05	592	6.2716895446037e-05	Total	+	UPF1-FLAG
Total_Upf1-FLAG	45	446	4.3536516106461e-05	625	6.26144215940209e-05	445	5.37619599218482e-05	505.333333333333	5.33042992074434e-05	Total	+	UPF1-FLAG
Total_Upf1-FLAG	46	450	4.39269781343217e-05	532	5.32973956608306e-05	432	5.21913858117718e-05	471.333333333333	4.9805253202308e-05	Total	+	UPF1-FLAG
Total_Upf1-FLAG	47	505	4.92958310174054e-05	507	5.07928187970698e-05	470	5.67822947489184e-05	494	5.22903148544645e-05	Total	+	UPF1-FLAG
Total_Upf1-FLAG	48	944	9.21490385751104e-05	600	6.01098447302601e-05	570	6.88636340571989e-05	704.666666666667	7.37075057875231e-05	Total	+	UPF1-FLAG
Total_Upf1-FLAG	49	1106	0.000107962750703466	600	6.01098447302601e-05	579	6.99509545949441e-05	761.666666666667	7.93411833428901e-05	Total	+	UPF1-FLAG
Total_Upf1-FLAG	50	943	9.20514230681452e-05	487	4.87891573060611e-05	464	5.60574143904215e-05	631.333333333333	6.56326649215426e-05	Total	+	UPF1-FLAG
Total_Upf1-FLAG	51	367	3.58248910562134e-05	485	4.85887911569602e-05	397	4.79629170538736e-05	416.333333333333	4.41255330890158e-05	Total	+	UPF1-FLAG
Total_Upf1-FLAG	52	294	2.86989590477568e-05	424	4.24776236093838e-05	312	3.76937786418352e-05	343.333333333333	3.62901204329919e-05	Total	+	UPF1-FLAG
Total_Upf1-FLAG	53	692	6.75499308198902e-05	947	9.48733715992605e-05	764	9.2301432315263e-05	801	8.49082449114712e-05	Total	+	UPF1-FLAG
Total_Upf1-FLAG	54	3190	0.000311393467218858	3932	0.000393919849132304	3253	0.000393005967698365	3458.33333333333	0.000366106428016509	Total	+	UPF1-FLAG
Total_Upf1-FLAG	55	4791	0.000467675893870078	5922	0.000593284167487667	4558	0.000550667445671425	5090.33333333333	0.000537209169009723	Total	+	UPF1-FLAG
Total_Upf1-FLAG	56	2823	0.000275568576162645	4263	0.000427080446808498	3480	0.000420430607928161	3522	0.000374359876966435	Total	+	UPF1-FLAG
Total_Upf1-FLAG	57	2286	0.000223149048922354	4640	0.000464849465914011	4640	0.000560574143904215	3855.33333333333	0.00041619088624686	Total	+	UPF1-FLAG
Total_Upf1-FLAG	58	7760	0.000757496334049636	19151	0.00191860606071535	20516	0.00247860757248683	15809	0.0017182366557506	Total	+	UPF1-FLAG
Total_Upf1-FLAG	59	9366	0.000914266838235682	18678	0.001871219466453	15119	0.00182657769001893	14387.6666666667	0.00153735466490254	Total	+	UPF1-FLAG
Total_Upf1-FLAG	60	4256	0.000415451597643718	6587	0.000659905912063705	4142	0.000500409074148978	4995	0.000525255527952134	Total	+	UPF1-FLAG
Total_Upf1-FLAG	61	3211	0.000313443392865126	6647	0.000665916896536731	6079	0.000734424616550372	5312.33333333333	0.00057126163531741	Total	+	UPF1-FLAG
Total_Upf1-FLAG	62	3671	0.0003583465260691	7377	0.000739050540958548	5249	0.000634149500291643	5432.33333333333	0.00057718218910643	Total	+	UPF1-FLAG
Total_Upf1-FLAG	63	1607	0.000156868119693011	2483	0.000248754574108726	1297	0.000156694970828398	1795.66666666667	0.000187439221543378	Total	+	UPF1-FLAG
Total_Upf1-FLAG	64	534	5.21266807193951e-05	679	6.80243076197443e-05	322	3.89019125726632e-05	511.666666666667	5.30176336372675e-05	Total	+	UPF1-FLAG
Total_DE572AA-FLAG	15	3473	0.00081495825010888	3968	0.000730344161802154	4444	0.000883211391598521	3961.66666666667	0.000809504601169852	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	16	8640	0.0020274227702104	8824	0.0016241322791689	9714	0.00193058403645095	9059.33333333333	0.00186071302861009	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	17	7686	0.00180356150599967	8244	0.00151737834422806	9427	0.00187354495693053	8452.33333333333	0.00173149493571942	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	18	4799	0.001126111328037	6268	0.00115367873139514	6232	0.0012385628695864	5766.33333333333	0.00117278430967285	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	19	8065	0.00189249590760959	11033	0.00203071752448668	10213	0.0020297565126903	9770.33333333333	0.00198432331492886	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	20	22086	0.00518259945635034	41732	0.00768112967750188	31931	0.0063460447671315	31916.3333333333	0.00640325796699457	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	21	34226	0.00803131617282653	80426	0.014803089606124	61999	0.0123218323734736	58883.6666666667	0.011718746050808	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	22	29664	0.00696081817772238	76611	0.0141009063961252	63211	0.0125627082075459	56495.3333333333	0.0112081442604645	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	23	21078	0.00494606679982579	43151	0.0079423087010899	43544	0.00865404069211656	35924.3333333333	0.00718080539767742	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	24	26378	0.00618974048988541	39307	0.00723478779434407	41012	0.00815082484073775	35565.6666666667	0.00719178437498908	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	25	41016	0.00962462642858215	54514	0.0100337655333878	53203	0.0105736938945131	49577.6666666667	0.010077361952161	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	26	63916	0.0149982353912926	76963	0.0141656949911238	77754	0.0154530194739765	72877.6666666667	0.0148723166187976	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	27	218049	0.0511663781969453	244621	0.04502457641235	218745	0.0434739144588701	227138.333333333	0.0465549563560551	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	28	1642476	0.385415884481956	1943326	0.357685685125588	1667405	0.33138413375525	1751069	0.358161901120931	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	29	1552751	0.364361427530899	1983454	0.365071584955426	1908148	0.379229984351021	1814784.33333333	0.369554332279115	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	30	413247	0.096970645546428	578410	0.106461281912294	603357	0.119912640774237	531671.333333333	0.10778152274432	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	31	75306	0.0176709605478547	109678	0.0201871690973127	113377	0.0225328213198167	99453.6666666667	0.020130316988328	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	32	22894	0.00537220103023113	34754	0.00639676940505848	34032	0.006763602628011	30560	0.00617752435443353	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	33	14849	0.00348439823088591	17723	0.00326206894647671	17388	0.00345573350070096	16653.3333333333	0.00340073355935453	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	34	6777	0.00159025973538378	7680	0.00141356934542352	7491	0.00148877959821434	7316	0.00149753622634055	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	35	4468	0.00104844038626158	4532	0.000834153160606694	4420	0.00087844157310204	4473.33333333333	0.000920345039990105	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	36	2873	0.000674165002177602	2570	0.000473030366893028	2482	0.000493278729511145	2641.66666666667	0.000546824699527259	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	37	1380	0.000323824470241939	1487	0.000273695002167289	1317	0.000261743789994431	1394.66666666667	0.000286421087467886	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	38	1161	0.000272434934747023	1000	0.000184058508518688	881	0.000175092087308348	1014	0.000210528510191353	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	39	1110	0.000260467508672864	1037	0.000190868673333879	794	0.000157801495258602	980.333333333333	0.000203045892421782	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	40	707	0.000165901377145689	608	0.000111907573179362	513	0.000101954870362296	609.333333333333	0.000126587940229116	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	41	507	0.00011897029450193	474	8.72437330378581e-05	436	8.66517026860835e-05	472.333333333333	9.76219100752905e-05	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	42	369	8.65878474777359e-05	474	8.72437330378581e-05	334	6.63799740760365e-05	392.333333333333	8.00705181972102e-05	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	43	360	8.44759487587667e-05	460	8.46669139185964e-05	319	6.33988375157354e-05	379.666666666667	7.75139000643662e-05	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	44	355	8.33026716926727e-05	352	6.47885949985781e-05	299	5.94239887686674e-05	335.333333333333	6.91717518199728e-05	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	45	313	7.34471443374833e-05	314	5.7794371674868e-05	276	5.48529127095391e-05	301	6.20314762406301e-05	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	46	263	6.17143736765435e-05	308	5.66900206237559e-05	252	5.00830942130575e-05	274.333333333333	5.61624961711189e-05	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	47	267	6.26529953294187e-05	329	6.05552493026483e-05	250	4.96856093383507e-05	282	5.76312846568059e-05	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	48	398	9.3392854461081e-05	353	6.49726535070968e-05	365	7.25409896339919e-05	372	7.69688325340566e-05	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	49	342	8.02521513208284e-05	411	7.56480470011807e-05	378	7.51246413195862e-05	377	7.70082798805318e-05	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	50	314	7.36817997507021e-05	423	7.7856749103405e-05	398	7.90994900666542e-05	378.333333333333	7.68793463069204e-05	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	51	167	3.9187454007539e-05	384	7.06784672711762e-05	255	5.06793215251177e-05	268.666666666667	5.35150809346109e-05	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	52	165	3.87181431811014e-05	358	6.58929460496903e-05	193	3.83572904092067e-05	238.666666666667	4.76561265466661e-05	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	53	371	8.70571583041735e-05	1124	0.000206881763575005	515	0.000102352355237002	670	0.00013209709237206	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	54	1379	0.00032358981482872	5153	0.000948453494396799	2607	0.000518121534180321	3046.33333333333	0.000596721614468613	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	55	1944	0.00045617012329734	6045	0.00111263368399547	3289	0.000653663876455341	3759.33333333333	0.000740822561249383	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	56	1519	0.000356441572679352	3407	0.00062708733852317	2336	0.000464262333657548	2420.66666666667	0.000482597081620023	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	57	1848	0.000433643203628336	3120	0.000574262546578306	2260	0.00044915790841869	2409.33333333333	0.000485687886208444	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	58	7839	0.00183946378422215	10065	0.00185254888824059	7738	0.00153786898024063	8547.33333333333	0.00174329388423446	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	59	6546	0.00153605433493024	7791	0.0014339998398691	7337	0.00145817326286191	7224.66666666667	0.00147607581255375	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	60	1664	0.000390466607596077	2297	0.000422782394067426	2254	0.00044796545379457	2071.66666666667	0.000420404818486024	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	61	2595	0.000608930797302777	3376	0.00062138152475909	2734	0.000543361823724203	2901.66666666667	0.000591224715262023	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	62	2267	0.000531963821767012	3126	0.000575366897629418	2742	0.00054495176322303	2711.66666666667	0.00055076082753982	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	63	570	0.000133753585534714	821	0.000151112035493843	857	0.000170322268811866	749.333333333333	0.000151729296613474	Total	+	DE572AA-FLAG
Total_DE572AA-FLAG	64	131	3.07398591316623e-05	169	3.11058879396583e-05	180	3.57736387236125e-05	160	3.25397952649777e-05	Total	+	DE572AA-FLAG
Total_Upf1-FLAG-upf2del	15	7234	0.00110347613286682	6082	0.000676943323749425	3662	0.00047212100943649	5659.33333333333	0.00075084682201758	Total	+	UPF1-FLAG/upf2Δ
