sample	length	count_rep1	fraction_rep1	count_rep2	fraction_rep2	count_average	fraction_average	Ribosomes	CHX	strain
Total_FLAG-Upf1_+CHX	15	4454	0.00819277108433735	13669	0.0158832893712453	9061.5	0.0120380302277913	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	16	5057	0.00930194058677458	15916	0.0184942888018685	10486.5	0.0138981146943215	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	17	4807	0.00884208590085533	13453	0.0156322987717729	9130	0.0122371923363141	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	18	3679	0.00676722155798768	10237	0.0118953276240719	6958	0.00933127459102977	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	19	3209	0.00590269474845949	9604	0.0111597857283956	6406.5	0.00853124023842756	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	20	4228	0.00777706244826635	9476	0.0110110505583379	6852	0.00939405650330212	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	21	6160	0.0113308194610503	11583	0.0134593708967104	8871.5	0.0123950951788804	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	22	7708	0.0141782396762623	11487	0.0133478195191671	9597.5	0.0137630295977147	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	23	5562	0.0102308470523315	8634	0.0100326520178017	7098	0.0101317495350666	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	24	4215	0.00775315000459855	7428	0.00863128783741387	5821.5	0.00819221892100621	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	25	4731	0.00870229007633588	9671	0.0112376392939727	7201	0.00996996468515431	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	26	4865	0.0089487721879886	10976	0.0127540408324522	7920.5	0.0108514065102204	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	27	7851	0.0144412765566081	20629	0.0239707642431355	14240	0.0192060203998718	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	28	36744	0.0675876023176676	117381	0.136395960910538	77062.5	0.101991781614103	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	29	105726	0.194474386093994	234086	0.272006414204209	169906	0.233240400149102	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	30	125493	0.230834176400258	163630	0.190136999035545	144561.5	0.210485587717901	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	31	71962	0.132368251632484	57485	0.0667971972716392	64723.5	0.0995827244520617	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	32	34746	0.063912443667801	22466	0.0261053463321675	28606	0.0450088949999842	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	33	12634	0.0232392164076152	8569	0.00995712243925679	10601.5	0.016598169423436	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	34	5291	0.009732364572795	4852	0.00563799254000163	5071.5	0.00768517855639831	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	35	2994	0.00550721971856893	4453	0.00517435712708723	3723.5	0.00534078842282808	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	36	3706	0.00681688586406696	5029	0.00584366539234711	4367.5	0.00633027562820703	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	37	5619	0.0103356939207211	5359	0.00622712325265225	5489	0.00828140858668665	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	38	7742	0.0142407799135473	6751	0.00784461822703029	7246.5	0.0110426990702888	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	39	9853	0.0181237928814495	9908	0.0115130317572828	9880.5	0.0148184123193661	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	40	8370	0.0153959348845765	7141	0.0082977956983	7755.5	0.0118468652914382	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	41	5104	0.0093883932677274	3797	0.00441208938054126	4450.5	0.00690024132413433	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	42	2478	0.0045580796468316	1766	0.00205208054939053	2122	0.00330508009811107	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	43	1096	0.00201600294306999	1134	0.00131770064723039	1115	0.00166685179515019	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	44	665	0.0012232134645452	772	0.000897058994410811	718.5	0.00106013622947801	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	45	366	0.000673227260185781	639	0.000742513856772679	502.5	0.00070787055847923	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	46	511	0.000939942978018946	667	0.000775049675222812	589	0.000857496326620879	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	47	396	0.000728409822496091	621	0.000721597973483308	508.5	0.0007250038979897	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	48	438	0.000805665409730525	776	0.000901706968475116	607	0.000853686189102821	Total	+	FLAG-UPF1
