Sample	bin	fraction_ave	size	strain	Ribosomes
Total_FLAG-Upf1_CHX-	62	0.0123637737931852	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	10	0.00666609883062554	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	35	0.0115262899081363	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	82	0.00950124828238916	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	84	0.00850290677910961	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	51	0.0107460283355826	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	70	0.0113569455784883	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	75	0.0104475387916447	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	3	0.00448383889840435	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	9	0.0135404184217047	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	19	0.00827514883342016	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	29	0.00862778104960856	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	52	0.00984763903261315	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	56	0.0456008421602	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	58	0.00977470598258064	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	59	0.0100222698561521	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	69	0.0102709152597123	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	74	0.0118350285210455	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	78	0.00971323491251467	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	81	0.0115957810073074	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	99	0.00451220291945466	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	34	0.0101675595003473	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	36	0.00846848784926562	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	91	0.0115558782226773	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	28	0.0103456322747477	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	77	0.0129636129741902	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	95	0.00929296154204683	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	30	0.0096304702802921	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	53	0.00905736472256083	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	87	0.00948278182341761	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	40	0.0108676256049418	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	49	0.00932309872437554	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	64	0.01209206166619	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	23	0.0207393355285946	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	83	0.0115410456736002	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	90	0.010113329240759	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	16	0.00993551440528029	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	20	0.00968088007281513	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	21	0.00900608754530191	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	24	0.00724253656566076	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	27	0.00987157854264628	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	33	0.0121967293063833	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	46	0.00925908607812834	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	68	0.00897043351824278	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	93	0.00943360712810973	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	11	0.0082982869386061	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	45	0.0114298510404386	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	71	0.0111773191899245	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	0	0.0147072920460607	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	2	0.00354099034001028	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	4	0.00581199843149676	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	5	0.00415695774533407	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	6	0.00478210349336486	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	7	0.0053963691191612	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	8	0.00631662303829482	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	12	0.00889800554232917	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	13	0.0087899727348875	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	14	0.00759258881386134	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	15	0.00765159509135927	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	17	0.00783493217343066	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	22	0.00813344930545062	M	FLAG-UPF1	Total
