Sample	bin	fraction_ave	size	strain	Ribosomes
Total_FLAG-Upf1_CHX+	60	0.0102601500551848	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	36	0.00905224807010289	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	37	0.0105982349753702	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	34	0.0101149221468296	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	41	0.010401636861948	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	10	0.00982687695991842	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	17	0.0105049357260932	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	21	0.0112172365067919	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	33	0.0104377215946144	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	40	0.0109793749452447	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	53	0.0120807113803576	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	63	0.00935212158365104	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	64	0.0128157896544747	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	69	0.00964506189038105	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	82	0.00867865578655302	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	84	0.00850244237147533	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	99	0.00531375873375006	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	28	0.0115284495646465	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	72	0.0105085045626591	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	97	0.00759912765727747	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	31	0.0102424441351511	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	46	0.0110783598872245	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	52	0.0102663942018987	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	66	0.00885596120487958	M	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX+	88	0.00894955386763026	M	FLAG-UPF1	Total
