Sample	bin	fraction_ave	size	strain	Ribosomes
Total_Upf1-FLAG	7	0.0103439506480814	M	UPF1-FLAG	Total
Total_Upf1-FLAG	1	0.00734946982712834	M	UPF1-FLAG	Total
Total_Upf1-FLAG	8	0.00910499771680829	M	UPF1-FLAG	Total
Total_Upf1-FLAG	13	0.0107764144922476	M	UPF1-FLAG	Total
Total_Upf1-FLAG	17	0.0102110596720382	M	UPF1-FLAG	Total
Total_Upf1-FLAG	18	0.0100007851899431	M	UPF1-FLAG	Total
Total_Upf1-FLAG	19	0.00998457332166803	M	UPF1-FLAG	Total
Total_Upf1-FLAG	26	0.00835203316551898	M	UPF1-FLAG	Total
Total_Upf1-FLAG	32	0.00967368504233226	M	UPF1-FLAG	Total
Total_Upf1-FLAG	35	0.00929713011604099	M	UPF1-FLAG	Total
Total_Upf1-FLAG	38	0.0092869918269392	M	UPF1-FLAG	Total
Total_Upf1-FLAG	41	0.0127051557506876	M	UPF1-FLAG	Total
Total_Upf1-FLAG	42	0.0110283289661494	M	UPF1-FLAG	Total
Total_Upf1-FLAG	44	0.00987153998434932	M	UPF1-FLAG	Total
Total_Upf1-FLAG	45	0.011659087906924	M	UPF1-FLAG	Total
Total_Upf1-FLAG	48	0.00962589536055354	M	UPF1-FLAG	Total
Total_Upf1-FLAG	49	0.0086503010373926	M	UPF1-FLAG	Total
Total_Upf1-FLAG	56	0.0132083015334395	M	UPF1-FLAG	Total
Total_Upf1-FLAG	63	0.00921760649274711	M	UPF1-FLAG	Total
Total_Upf1-FLAG	64	0.00986463561604736	M	UPF1-FLAG	Total
Total_Upf1-FLAG	65	0.00869744190901795	M	UPF1-FLAG	Total
Total_Upf1-FLAG	68	0.00907593541232132	M	UPF1-FLAG	Total
Total_Upf1-FLAG	74	0.00916948525998981	M	UPF1-FLAG	Total
Total_Upf1-FLAG	75	0.0125705151374051	M	UPF1-FLAG	Total
Total_Upf1-FLAG	79	0.0112943287211882	M	UPF1-FLAG	Total
Total_Upf1-FLAG	81	0.0121931969340209	M	UPF1-FLAG	Total
Total_Upf1-FLAG	82	0.00960408163371498	M	UPF1-FLAG	Total
Total_Upf1-FLAG	85	0.0129205746971116	M	UPF1-FLAG	Total
Total_Upf1-FLAG	91	0.00865945009423196	M	UPF1-FLAG	Total
Total_Upf1-FLAG	92	0.00886582899075872	M	UPF1-FLAG	Total
Total_Upf1-FLAG	93	0.00711819538465607	M	UPF1-FLAG	Total
Total_Upf1-FLAG	96	0.00714912804254247	M	UPF1-FLAG	Total
Total_Upf1-FLAG	99	0.00684239843462064	M	UPF1-FLAG	Total
Total_Upf1-FLAG	100	2.57888540683413e-05	M	UPF1-FLAG	Total
Total_Upf1-FLAG	84	0.00973039929953563	M	UPF1-FLAG	Total
Total_Upf1-FLAG	86	0.0091803735815436	M	UPF1-FLAG	Total
Total_Upf1-FLAG	87	0.0085518839958824	M	UPF1-FLAG	Total
Total_Upf1-FLAG	98	0.00728231670942249	M	UPF1-FLAG	Total
Total_Upf1-FLAG	36	0.00919192186212258	M	UPF1-FLAG	Total
Total_Upf1-FLAG	37	0.00778316474051861	M	UPF1-FLAG	Total
Total_Upf1-FLAG	57	0.0115232693423028	M	UPF1-FLAG	Total
Total_Upf1-FLAG	0	0.0121451364429849	M	UPF1-FLAG	Total
Total_Upf1-FLAG	2	0.00995677186373463	M	UPF1-FLAG	Total
Total_Upf1-FLAG	11	0.011867211026754	M	UPF1-FLAG	Total
Total_Upf1-FLAG	25	0.00957005571231556	M	UPF1-FLAG	Total
Total_Upf1-FLAG	30	0.0102118389615283	M	UPF1-FLAG	Total
Total_Upf1-FLAG	50	0.00917910189551625	M	UPF1-FLAG	Total
Total_Upf1-FLAG	89	0.00870059523622122	M	UPF1-FLAG	Total
Total_Upf1-FLAG	90	0.00738273314335445	M	UPF1-FLAG	Total
Total_Upf1-FLAG	4	0.00801496174259249	M	UPF1-FLAG	Total
Total_Upf1-FLAG	6	0.00952570990949736	M	UPF1-FLAG	Total
Total_Upf1-FLAG	12	0.0115884273694406	M	UPF1-FLAG	Total
Total_Upf1-FLAG	14	0.0113506532682781	M	UPF1-FLAG	Total
Total_Upf1-FLAG	20	0.0109316808027243	M	UPF1-FLAG	Total
Total_Upf1-FLAG	21	0.0113779741157083	M	UPF1-FLAG	Total
Total_Upf1-FLAG	22	0.0139844096036476	M	UPF1-FLAG	Total
Total_Upf1-FLAG	23	0.00933654286719768	M	UPF1-FLAG	Total
Total_Upf1-FLAG	24	0.00963184040125725	M	UPF1-FLAG	Total
Total_Upf1-FLAG	34	0.00944423528645746	M	UPF1-FLAG	Total
Total_Upf1-FLAG	39	0.012209991708103	M	UPF1-FLAG	Total
Total_Upf1-FLAG	53	0.0126873607424978	M	UPF1-FLAG	Total
Total_Upf1-FLAG	58	0.0128912875479987	M	UPF1-FLAG	Total
Total_Upf1-FLAG	66	0.00995140506766194	M	UPF1-FLAG	Total
Total_Upf1-FLAG	67	0.00941401041489293	M	UPF1-FLAG	Total
Total_Upf1-FLAG	69	0.00830684713521791	M	UPF1-FLAG	Total
Total_Upf1-FLAG	70	0.00816717999558482	M	UPF1-FLAG	Total
Total_Upf1-FLAG	71	0.00975067357143994	M	UPF1-FLAG	Total
Total_Upf1-FLAG	72	0.00878521781531251	M	UPF1-FLAG	Total
Total_Upf1-FLAG	73	0.0106727822622962	M	UPF1-FLAG	Total
Total_Upf1-FLAG	77	0.00957768552415828	M	UPF1-FLAG	Total
Total_Upf1-FLAG	80	0.0131965379259112	M	UPF1-FLAG	Total
Total_Upf1-FLAG	83	0.0103629918879993	M	UPF1-FLAG	Total
Total_Upf1-FLAG	88	0.00807297690735902	M	UPF1-FLAG	Total
Total_Upf1-FLAG	94	0.00664843818168574	M	UPF1-FLAG	Total
Total_Upf1-FLAG	95	0.00734199420104807	M	UPF1-FLAG	Total
