CHX	sample	psite_region	Frame	Freq	fraction_overall	Freq_region_sum	fraction_by_region	strain
-CHX	Total_FLAG-Upf1_1	3utr	0	1867	0.00187883667102747	5455	0.342254812098992	FLAG-UPF1
-CHX	Total_FLAG-Upf1_1	5utr	0	735	0.000739659857099728	3971	0.185091916393855	FLAG-UPF1
-CHX	Total_FLAG-Upf1_1	cds	0	710435	0.714939116433531	984274	0.721785803546573	FLAG-UPF1
-CHX	Total_FLAG-Upf1_1	3utr	1	2345	0.0023598671631277	5455	0.429880843263061	FLAG-UPF1
-CHX	Total_FLAG-Upf1_1	5utr	1	1489	0.00149844017309047	3971	0.374968521782926	FLAG-UPF1
-CHX	Total_FLAG-Upf1_1	cds	1	171961	0.173051222703029	984274	0.174708465325712	FLAG-UPF1
-CHX	Total_FLAG-Upf1_1	3utr	2	1243	0.00125088054744893	5455	0.227864344637947	FLAG-UPF1
-CHX	Total_FLAG-Upf1_1	5utr	2	1747	0.0017580758780316	3971	0.439939561823218	FLAG-UPF1
-CHX	Total_FLAG-Upf1_1	cds	2	101878	0.102523900573614	984274	0.103505731127714	FLAG-UPF1
-CHX	Total_FLAG-Upf1_2	3utr	0	924	0.00205052639054095	2363	0.391028353787558	FLAG-UPF1
-CHX	Total_FLAG-Upf1_2	5utr	0	336	0.000745645960196708	1519	0.221198156682028	FLAG-UPF1
-CHX	Total_FLAG-Upf1_2	cds	0	319582	0.709211390629716	446734	0.715374249553426	FLAG-UPF1
-CHX	Total_FLAG-Upf1_2	3utr	1	873	0.00193734798586823	2363	0.369445619974609	FLAG-UPF1
-CHX	Total_FLAG-Upf1_2	5utr	1	549	0.00121833223853569	1519	0.361421988150099	FLAG-UPF1
-CHX	Total_FLAG-Upf1_2	cds	1	87285	0.193701510820743	446734	0.195384725586143	FLAG-UPF1
-CHX	Total_FLAG-Upf1_2	3utr	2	566	0.0012560583734266	2363	0.239526026237833	FLAG-UPF1
-CHX	Total_FLAG-Upf1_2	5utr	2	634	0.00140696291299022	1519	0.417379855167874	FLAG-UPF1
-CHX	Total_FLAG-Upf1_2	cds	2	39867	0.0884722246879827	446734	0.0892410248604315	FLAG-UPF1
-CHX	IP_FLAG-Upf1_1	3utr	0	1513	0.00206557694854352	4043	0.374227059114519	FLAG-UPF1
-CHX	IP_FLAG-Upf1_1	5utr	0	616	0.000840975148911306	3074	0.20039037085231	FLAG-UPF1
-CHX	IP_FLAG-Upf1_1	cds	0	516078	0.704559696265988	725366	0.711472553166264	FLAG-UPF1
-CHX	IP_FLAG-Upf1_1	3utr	1	1483	0.00202462036661602	4043	0.366806826613901	FLAG-UPF1
-CHX	IP_FLAG-Upf1_1	5utr	1	1339	0.00182802877336402	3074	0.4355888093689	FLAG-UPF1
-CHX	IP_FLAG-Upf1_1	cds	1	128187	0.175003378918009	725366	0.176720441818337	FLAG-UPF1
-CHX	IP_FLAG-Upf1_1	3utr	2	1047	0.0014293847092697	4043	0.258966114271581	FLAG-UPF1
-CHX	IP_FLAG-Upf1_1	5utr	2	1119	0.0015276805058957	3074	0.36402081977879	FLAG-UPF1
-CHX	IP_FLAG-Upf1_1	cds	2	81101	0.110720658363402	725366	0.111807005015399	FLAG-UPF1
-CHX	IP_FLAG-Upf1_2	3utr	0	1053	0.00464175196381814	2421	0.434944237918216	FLAG-UPF1
-CHX	IP_FLAG-Upf1_2	5utr	0	216	0.000952154248988336	895	0.241340782122905	FLAG-UPF1
-CHX	IP_FLAG-Upf1_2	cds	0	156500	0.689871018364234	223538	0.700104680188603	FLAG-UPF1
-CHX	IP_FLAG-Upf1_2	3utr	1	924	0.00407310428733899	2421	0.381660470879802	FLAG-UPF1
-CHX	IP_FLAG-Upf1_2	5utr	1	332	0.00146349634566726	895	0.370949720670391	FLAG-UPF1
-CHX	IP_FLAG-Upf1_2	cds	1	46019	0.20285734437127	223538	0.205866564074117	FLAG-UPF1
-CHX	IP_FLAG-Upf1_2	3utr	2	444	0.0019572059562538	2421	0.183395291201983	FLAG-UPF1
-CHX	IP_FLAG-Upf1_2	5utr	2	347	0.00152961816851367	895	0.387709497206704	FLAG-UPF1
-CHX	IP_FLAG-Upf1_2	cds	2	21019	0.0926543062939159	223538	0.0940287557372796	FLAG-UPF1
-CHX	Total_WT_1	3utr	0	201	0.000522459249478191	693	0.29004329004329	WT + EV
-CHX	Total_WT_1	5utr	0	193	0.000501664851489009	946	0.204016913319239	WT + EV
-CHX	Total_WT_1	cds	0	249360	0.648161385322794	383080	0.65093453064634	WT + EV
-CHX	Total_WT_1	3utr	1	233	0.000605636841434917	693	0.336219336219336	WT + EV
-CHX	Total_WT_1	5utr	1	260	0.000675817934648406	946	0.274841437632135	WT + EV
-CHX	Total_WT_1	cds	1	78590	0.204278967246224	383080	0.20515297065887	WT + EV
-CHX	Total_WT_1	3utr	2	259	0.000673218634899758	693	0.373737373737374	WT + EV
-CHX	Total_WT_1	5utr	2	493	0.00128145477608332	946	0.521141649048626	WT + EV
-CHX	Total_WT_1	cds	2	55130	0.143299395142948	383080	0.14391249869479	WT + EV
-CHX	Total_WT_2	3utr	0	1179	0.00110209472779943	3336	0.35341726618705	WT + EV
-CHX	Total_WT_2	5utr	0	659	0.000616013931823429	3453	0.19084853750362	WT + EV
-CHX	Total_WT_2	cds	0	671937	0.628107061164855	1062992	0.63211858602887	WT + EV
-CHX	Total_WT_2	3utr	1	1189	0.00111144243541435	3336	0.356414868105516	WT + EV
-CHX	Total_WT_2	5utr	1	1057	0.000988052694897367	3453	0.306110628439039	WT + EV
-CHX	Total_WT_2	cds	1	233992	0.218728880023108	1062992	0.220125833496395	WT + EV
-CHX	Total_WT_2	3utr	2	968	0.000904858097124552	3336	0.290167865707434	WT + EV
-CHX	Total_WT_2	5utr	2	1737	0.00162369681271213	3453	0.503040834057341	WT + EV
-CHX	Total_WT_2	cds	2	157063	0.146817900112266	1062992	0.147755580474735	WT + EV
+CHX	Total_FLAG-Upf1_1	3utr	0	614	0.0013753186304156	1838	0.334058759521219	FLAG-UPF1
+CHX	Total_FLAG-Upf1_1	5utr	0	391	0.000875813655525242	2083	0.187710033605377	FLAG-UPF1
+CHX	Total_FLAG-Upf1_1	cds	0	262056	0.586987783407475	442521	0.592188845275139	FLAG-UPF1
+CHX	Total_FLAG-Upf1_1	3utr	1	675	0.00151195452040803	1838	0.367247007616975	FLAG-UPF1
+CHX	Total_FLAG-Upf1_1	5utr	1	619	0.00138651829352973	2083	0.297167546807489	FLAG-UPF1
+CHX	Total_FLAG-Upf1_1	cds	1	104737	0.234603823117001	442521	0.236682552918393	FLAG-UPF1
+CHX	Total_FLAG-Upf1_1	3utr	2	549	0.00122972300993186	1838	0.298694232861806	FLAG-UPF1
+CHX	Total_FLAG-Upf1_1	5utr	2	1073	0.00240344770429305	2083	0.515122419587134	FLAG-UPF1
+CHX	Total_FLAG-Upf1_1	cds	2	75728	0.169625617661421	442521	0.171128601806468	FLAG-UPF1
+CHX	Total_FLAG-Upf1_2	3utr	0	1240	0.00179006312859727	3602	0.344253192670739	FLAG-UPF1
+CHX	Total_FLAG-Upf1_2	5utr	0	737	0.00106393268207757	3846	0.191627665106604	FLAG-UPF1
+CHX	Total_FLAG-Upf1_2	cds	0	458030	0.661211786122103	685265	0.668398356840055	FLAG-UPF1
+CHX	Total_FLAG-Upf1_2	3utr	1	1500	0.00216539894588379	3602	0.416435313714603	FLAG-UPF1
+CHX	Total_FLAG-Upf1_2	5utr	1	979	0.00141328371201349	3846	0.25455018200728	FLAG-UPF1
+CHX	Total_FLAG-Upf1_2	cds	1	158049	0.228159425331992	685265	0.23063924175319	FLAG-UPF1
+CHX	Total_FLAG-Upf1_2	3utr	2	862	0.00124438259423455	3602	0.239311493614659	FLAG-UPF1
+CHX	Total_FLAG-Upf1_2	5utr	2	2130	0.00307486650315499	3846	0.553822152886115	FLAG-UPF1
+CHX	Total_FLAG-Upf1_2	cds	2	69186	0.0998768609799441	685265	0.100962401406755	FLAG-UPF1
+CHX	IP_FLAG-Upf1_1	3utr	0	1851	0.00108701205579173	5564	0.332674335010784	FLAG-UPF1
+CHX	IP_FLAG-Upf1_1	5utr	0	1116	0.000655378419375241	5343	0.208871420550253	FLAG-UPF1
+CHX	IP_FLAG-Upf1_1	cds	0	919620	0.540052958804533	1691926	0.54353440989736	FLAG-UPF1
+CHX	IP_FLAG-Upf1_1	3utr	1	2091	0.0012279536513563	5564	0.375808770668584	FLAG-UPF1
+CHX	IP_FLAG-Upf1_1	5utr	1	1903	0.00111754940149739	5343	0.356166947407823	FLAG-UPF1
+CHX	IP_FLAG-Upf1_1	cds	1	390208	0.229152242175246	1691926	0.230629471974543	FLAG-UPF1
+CHX	IP_FLAG-Upf1_1	3utr	2	1622	0.000952530283357205	5564	0.291516894320633	FLAG-UPF1
+CHX	IP_FLAG-Upf1_1	5utr	2	2324	0.00136478445038357	5343	0.434961632041924	FLAG-UPF1
+CHX	IP_FLAG-Upf1_1	cds	2	382098	0.22438959075846	1691926	0.225836118128098	FLAG-UPF1
+CHX	IP_FLAG-Upf1_2	3utr	0	890	0.000862257720113082	3096	0.287467700258398	FLAG-UPF1
+CHX	IP_FLAG-Upf1_2	5utr	0	551	0.000533824723350908	2591	0.212659204940178	FLAG-UPF1
+CHX	IP_FLAG-Upf1_2	cds	0	606337	0.587436808135062	1026487	0.590691358000637	FLAG-UPF1
+CHX	IP_FLAG-Upf1_2	3utr	1	1297	0.00125657108200749	3096	0.418927648578811	FLAG-UPF1
+CHX	IP_FLAG-Upf1_2	5utr	1	856	0.000829317537546964	2591	0.330374372829024	FLAG-UPF1
+CHX	IP_FLAG-Upf1_2	cds	1	254357	0.246428412263824	1026487	0.247793688570825	FLAG-UPF1
+CHX	IP_FLAG-Upf1_2	3utr	2	909	0.000880665469194147	3096	0.293604651162791	FLAG-UPF1
+CHX	IP_FLAG-Upf1_2	5utr	2	1184	0.0011470934164201	2591	0.456966422230799	FLAG-UPF1
+CHX	IP_FLAG-Upf1_2	cds	2	165793	0.160625049652481	1026487	0.161514953428538	FLAG-UPF1
+CHX	Total_OE3_1	3utr	0	498	0.00104873456907117	1391	0.358015815959741	FLAG-UPF1 UPF2/3 EE
+CHX	Total_OE3_1	5utr	0	385	0.000810768692956631	2408	0.159883720930233	FLAG-UPF1 UPF2/3 EE
+CHX	Total_OE3_1	cds	0	295265	0.621796410716467	471059	0.626811078866978	FLAG-UPF1 UPF2/3 EE
+CHX	Total_OE3_1	3utr	1	420	0.00088447493777087	1391	0.301941049604601	FLAG-UPF1 UPF2/3 EE
+CHX	Total_OE3_1	5utr	1	846	0.00178158523179561	2408	0.351328903654485	FLAG-UPF1 UPF2/3 EE
+CHX	Total_OE3_1	cds	1	110937	0.233621419455922	471059	0.235505531154272	FLAG-UPF1 UPF2/3 EE
+CHX	Total_OE3_1	3utr	2	473	0.000996087251346718	1391	0.340043134435658	FLAG-UPF1 UPF2/3 EE
+CHX	Total_OE3_1	5utr	2	1177	0.00247863571846742	2408	0.488787375415282	FLAG-UPF1 UPF2/3 EE
+CHX	Total_OE3_1	cds	2	64857	0.136581883426203	471059	0.13768338997875	FLAG-UPF1 UPF2/3 EE
+CHX	Total_OE3_2	3utr	0	299	0.000972326103216156	971	0.307929969104016	FLAG-UPF1 UPF2/3 EE
+CHX	Total_OE3_2	5utr	0	273	0.000887776007284316	1466	0.186221009549795	FLAG-UPF1 UPF2/3 EE
+CHX	Total_OE3_2	cds	0	204307	0.664391401905629	305073	0.669698727845466	FLAG-UPF1 UPF2/3 EE
+CHX	Total_OE3_2	3utr	1	370	0.00120321290364541	971	0.381050463439753	FLAG-UPF1 UPF2/3 EE
+CHX	Total_OE3_2	5utr	1	441	0.00143409970407466	1466	0.300818553888131	FLAG-UPF1 UPF2/3 EE
+CHX	Total_OE3_2	cds	1	71539	0.232639588956457	305073	0.23449797261639	FLAG-UPF1 UPF2/3 EE
+CHX	Total_OE3_2	3utr	2	302	0.000982081883515983	971	0.311019567456231	FLAG-UPF1 UPF2/3 EE
+CHX	Total_OE3_2	5utr	2	752	0.00244544892849013	1466	0.512960436562074	FLAG-UPF1 UPF2/3 EE
+CHX	Total_OE3_2	cds	2	29227	0.0950440636076876	305073	0.0958032995381433	FLAG-UPF1 UPF2/3 EE
+CHX	IP_OE3_1	3utr	0	256	0.00103744949525651	902	0.283813747228381	FLAG-UPF1 UPF2/3 EE
+CHX	IP_OE3_1	5utr	0	199	0.000806454881078299	798	0.24937343358396	FLAG-UPF1 UPF2/3 EE
+CHX	IP_OE3_1	cds	0	134175	0.543749164164225	245059	0.547521209178198	FLAG-UPF1 UPF2/3 EE
+CHX	IP_OE3_1	3utr	1	341	0.00138191514797839	902	0.378048780487805	FLAG-UPF1 UPF2/3 EE
+CHX	IP_OE3_1	5utr	1	287	0.00116307814507272	798	0.359649122807018	FLAG-UPF1 UPF2/3 EE
+CHX	IP_OE3_1	cds	1	62565	0.253546983088763	245059	0.255305865118196	FLAG-UPF1 UPF2/3 EE
+CHX	IP_OE3_1	3utr	2	305	0.00123602381270795	902	0.338137472283814	FLAG-UPF1 UPF2/3 EE
+CHX	IP_OE3_1	5utr	2	312	0.00126439157234387	798	0.390977443609023	FLAG-UPF1 UPF2/3 EE
+CHX	IP_OE3_1	cds	2	48319	0.195814539692575	245059	0.197172925703606	FLAG-UPF1 UPF2/3 EE
+CHX	IP_OE3_2	3utr	0	319	0.00108946971171743	1237	0.257881972514147	FLAG-UPF1 UPF2/3 EE
+CHX	IP_OE3_2	5utr	0	183	0.000624993596377086	733	0.249658935879945	FLAG-UPF1 UPF2/3 EE
+CHX	IP_OE3_2	cds	0	167997	0.573754367270827	290833	0.577640776665647	FLAG-UPF1 UPF2/3 EE
