sample	psite_region	Frame	Freq	fraction_overall	Freq_region_sum	fraction_by_region	strain
Total_Upf1-FLAG_1	3utr	0	18292	0.00187274046675589	36434	0.50205851677005	UPF1-FLAG
Total_Upf1-FLAG_1	5utr	0	12563	0.00128620372205632	61802	0.203278211061131	UPF1-FLAG
Total_Upf1-FLAG_1	cds	0	7161553	0.733201952105676	9669268	0.740650998607133	UPF1-FLAG
Total_Upf1-FLAG_1	3utr	1	10134	0.0010375219708126	36434	0.27814678596915	UPF1-FLAG
Total_Upf1-FLAG_1	5utr	1	17042	0.00174476509044685	61802	0.275751593799553	UPF1-FLAG
Total_Upf1-FLAG_1	cds	1	1957316	0.200390601324555	9669268	0.202426491850262	UPF1-FLAG
Total_Upf1-FLAG_1	3utr	2	8008	0.000819861450786199	36434	0.2197946972608	UPF1-FLAG
Total_Upf1-FLAG_1	5utr	2	32197	0.00329633855281759	61802	0.520970195139316	UPF1-FLAG
Total_Upf1-FLAG_1	cds	2	550399	0.056350015316093	9669268	0.0569225095426045	UPF1-FLAG
Total_Upf1-FLAG_2	3utr	0	17126	0.00180347265895011	32392	0.528710792788343	UPF1-FLAG
Total_Upf1-FLAG_2	5utr	0	10600	0.00111624490160407	45619	0.232359323965891	UPF1-FLAG
Total_Upf1-FLAG_2	cds	0	7248291	0.76328942208421	9418113	0.769611810773559	UPF1-FLAG
Total_Upf1-FLAG_2	3utr	1	8308	0.000874883268162884	32392	0.256483082242529	UPF1-FLAG
Total_Upf1-FLAG_2	5utr	1	13212	0.00139130449433895	45619	0.289616168701637	UPF1-FLAG
Total_Upf1-FLAG_2	cds	1	1757326	0.185057187543044	9418113	0.186590031357662	UPF1-FLAG
Total_Upf1-FLAG_2	3utr	2	6958	0.000732720002392555	32392	0.214806124969128	UPF1-FLAG
Total_Upf1-FLAG_2	5utr	2	21807	0.00229641061974338	45619	0.478024507332471	UPF1-FLAG
Total_Upf1-FLAG_2	cds	2	412496	0.0434383544275538	9418113	0.043798157868779	UPF1-FLAG
Total_Upf1-FLAG_3	3utr	0	14699	0.00187566410363762	27276	0.538898665493474	UPF1-FLAG
Total_Upf1-FLAG_3	5utr	0	7917	0.00101024782015777	35562	0.222625274169057	UPF1-FLAG
Total_Upf1-FLAG_3	cds	0	6209535	0.792366956920976	7773853	0.798771857404559	UPF1-FLAG
Total_Upf1-FLAG_3	3utr	1	7183	0.000916585839610111	27276	0.263345065258836	UPF1-FLAG
Total_Upf1-FLAG_3	5utr	1	10208	0.00130259059595434	35562	0.287047972554974	UPF1-FLAG
Total_Upf1-FLAG_3	cds	1	1298802	0.16573347092542	7773853	0.167073136062645	UPF1-FLAG
Total_Upf1-FLAG_3	3utr	2	5394	0.000688300712634963	27276	0.19775626924769	UPF1-FLAG
Total_Upf1-FLAG_3	5utr	2	17437	0.00222504625995844	35562	0.490326753275969	UPF1-FLAG
Total_Upf1-FLAG_3	cds	2	265516	0.0338811368216509	7773853	0.0341550065327965	UPF1-FLAG
Total_DE572AA-FLAG_1	3utr	0	11478	0.00284293913043909	22514	0.509816114417696	DE572AA-FLAG
Total_DE572AA-FLAG_1	5utr	0	5891	0.00145911782692252	28113	0.20954718457653	DE572AA-FLAG
Total_DE572AA-FLAG_1	cds	0	3220591	0.797695084251608	3986744	0.807824881657814	DE572AA-FLAG
Total_DE572AA-FLAG_1	3utr	1	6436	0.00159410666000226	22514	0.285866571910811	DE572AA-FLAG
Total_DE572AA-FLAG_1	5utr	1	7629	0.00188959597718416	28113	0.271369117490129	DE572AA-FLAG
Total_DE572AA-FLAG_1	cds	1	632876	0.156754482062709	3986744	0.158745081199094	DE572AA-FLAG
Total_DE572AA-FLAG_1	3utr	2	4600	0.00113935528837949	22514	0.204317313671493	DE572AA-FLAG
Total_DE572AA-FLAG_1	5utr	2	14593	0.00361448080941781	28113	0.51908369793334	DE572AA-FLAG
Total_DE572AA-FLAG_1	cds	2	133277	0.0330108379933377	3986744	0.0334300371430922	DE572AA-FLAG
Total_DE572AA-FLAG_2	3utr	0	13387	0.00260361207172021	25038	0.534667305695343	DE572AA-FLAG
Total_DE572AA-FLAG_2	5utr	0	6857	0.00133360483870811	29945	0.228986475204542	DE572AA-FLAG
Total_DE572AA-FLAG_2	cds	0	4060934	0.789803300579594	5086720	0.798340384373427	DE572AA-FLAG
Total_DE572AA-FLAG_2	3utr	1	6823	0.00132699224362045	25038	0.27250579119738	DE572AA-FLAG
Total_DE572AA-FLAG_2	5utr	1	8487	0.0016506204267341	29945	0.283419602604775	DE572AA-FLAG
Total_DE572AA-FLAG_2	cds	1	855888	0.166460023070177	5086720	0.168259310518369	DE572AA-FLAG
Total_DE572AA-FLAG_2	3utr	2	4828	0.000938988502447535	25038	0.192826903107277	DE572AA-FLAG
Total_DE572AA-FLAG_2	5utr	2	14601	0.00283972061396778	29945	0.487593922190683	DE572AA-FLAG
Total_DE572AA-FLAG_2	cds	2	169898	0.0330431376530305	5086720	0.0334003051082033	DE572AA-FLAG
