size	sample	distance	reg	reads_rep1	fraction_rep1	reads_rep2	fraction_rep2	reads_rep3	fraction_rep3	reads_sum	fraction_sum	reads_ave	fraction_ave	strain	ribo	CHX
M	Total_Upf1-FLAG	-10	Distance from start (nt)	473	5.14847023493025e-05	276	3.02068049802704e-05	222	2.90986191525538e-05	971	3.74131564925293e-05	323.666666666667	3.69300421607089e-05	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-9	Distance from start (nt)	242	2.63410105042943e-05	121	1.32428384152635e-05	96	1.25831866605638e-05	459	1.7685518877519e-05	153	1.73890118600405e-05	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-8	Distance from start (nt)	345	3.7552267041246e-05	200	2.18889891161379e-05	124	1.62532827698949e-05	669	2.57769327430506e-05	223	2.52315129757596e-05	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-7	Distance from start (nt)	491	5.34439510644979e-05	293	3.20673690551421e-05	206	2.70014213757932e-05	990	3.81452367946488e-05	330	3.75042471651444e-05	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-6	Distance from start (nt)	297	3.23276038007248e-05	173	1.89339755854593e-05	140	1.83504805466556e-05	610	2.35036307522584e-05	203.333333333333	2.32040199776132e-05	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-5	Distance from start (nt)	310	3.37426167616993e-05	173	1.89339755854593e-05	141	1.84815554077031e-05	624	2.40430583432938e-05	208	2.37193825849539e-05	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-4	Distance from start (nt)	231	2.51436918450082e-05	134	1.46656227078124e-05	124	1.62532827698949e-05	489	1.88414351440235e-05	163	1.86875324409052e-05	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-3	Distance from start (nt)	322	3.50487825718296e-05	175	1.91528654766207e-05	100	1.3107486104754e-05	597	2.30027337034397e-05	199	2.24363780510681e-05	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-2	Distance from start (nt)	1307	0.000142263226153358	653	7.14675494641904e-05	492	6.44888316353896e-05	2452	9.44768895156353e-05	817.333333333333	9.27398690843127e-05	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-1	Distance from start (nt)	8104	0.000882097310441326	4547	0.000497646167555396	3244	0.000425206849238219	15895	0.000612442968536306	5298.33333333333	0.000601650109078314	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	0	Distance from start (nt)	62709	0.00682569598228839	51474	0.00563356912882042	43602	0.00571512609139483	157785	0.00607954160368047	52595	0.00605813040083455	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	1	Distance from start (nt)	15673	0.00170596139518101	11805	0.00129199758258004	8852	0.00116027466999282	36330	0.00139981459873696	12110	0.00138607788258462	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	2	Distance from start (nt)	1321	0.000143787086265177	884	9.67493318933297e-05	582	7.62855691296682e-05	2787	0.000107384621158269	929	0.000105607329096058	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	3	Distance from start (nt)	8930	0.000972005057038628	9323	0.00102035522764877	8036	0.00105331758337803	26289	0.0010129294243379	8763	0.00101522595602181	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	4	Distance from start (nt)	1907	0.000207571516659873	1718	0.000188026416507625	1212	0.000158862731589618	4837	0.000186372232702744	1612.33333333333	0.000184820221585705	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	5	Distance from start (nt)	1143	0.000124412293414911	907	9.92665656416856e-05	572	7.49748205191928e-05	2622	0.000101027081692494	874	9.9551226525263e-05	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	6	Distance from start (nt)	7874	0.000857062465747162	10123	0.00110791118411332	8049	0.00105502155657165	26046	0.00100356650257922	8682	0.00100666506881071	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	7	Distance from start (nt)	2215	0.000241096439119884	2343	0.000256429507495556	1679	0.000220074691698819	6237	0.000240314991806288	2079	0.00023920021277142	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	8	Distance from start (nt)	1223	0.000133120065482446	1191	0.000130348930186601	769	0.000100796568145558	3183	0.000122642715876128	1061	0.000121421854604869	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	9	Distance from start (nt)	12342	0.00134339153571901	17757	0.00194341389867631	14196	0.00186073872743088	44295	0.00170671036749391	14765	0.00171584805394206	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	10	Distance from start (nt)	3012	0.000327847618342704	3648	0.000399255161478356	2801	0.000367140685794159	9461	0.000364537459913306	3153.66666666667	0.00036474782187174	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	11	Distance from start (nt)	746	8.11999745297667e-05	880	9.63115521110069e-05	646	8.46743602367107e-05	2272	8.75413919166082e-05	757.333333333333	8.73952956258281e-05	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	12	Distance from start (nt)	16644	0.00181165197865072	26426	0.00289219213191531	22642	0.0029677970038384	65712	0.00253191899015148	21904	0.00255721370480147	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	13	Distance from start (nt)	5080	0.000552943526288492	8390	0.000918243093421987	6148	0.000805848245720275	19618	0.000755892177209516	6539.33333333333	0.000759011621810251	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	14	Distance from start (nt)	1795	0.000195380635765323	1963	0.000214840428174894	942	0.000123472519106783	4700	0.00018109354841904	1566.66666666667	0.000177897861015667	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	15	Distance from start (nt)	7518	0.00081831288004663	12674	0.00138710524028966	11882	0.00155743149896687	32074	0.00123582861106219	10691.3333333333	0.00125428320643439	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	16	Distance from start (nt)	2631	0.000286376853871067	2945	0.000322315364735131	2159	0.000282990625001638	7735	0.000298033744047079	2578.33333333333	0.000297227614535946	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	17	Distance from start (nt)	1715	0.000186672863697788	1497	0.000163839083534292	1005	0.000131730235352778	4217	0.000162483296528317	1405.66666666667	0.000160747394194953	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	18	Distance from start (nt)	15924	0.0017332820300429	21312	0.00233249068021566	19998	0.0026212350712287	57234	0.0022052570532373	19078	0.00222900259382909	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	19	Distance from start (nt)	3890	0.000423415416783904	4501	0.000492611700058684	3443	0.00045129074658668	11834	0.000455970436593812	3944.66666666667	0.000455772621143089	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	20	Distance from start (nt)	1291	0.000140521671739851	1184	0.000129582815567537	854	0.000111937931334599	3329	0.000128268175039784	1109.66666666667	0.000127347472880662	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	21	Distance from start (nt)	14947	0.00162693836366813	20041	0.0021933861543826	15800	0.00207098280455113	50788	0.0019568891781077	16929.3333333333	0.00196376910753395	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	22	Distance from start (nt)	3724	0.000405346789743768	4440	0.000485935558378262	2838	0.000371990455652918	11002	0.000423913025469421	3667.33333333333	0.00042109093459165	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	23	Distance from start (nt)	1660	0.000180686270401358	1455	0.000159242395819904	1199	0.000157158758396	4314	0.000166220759123348	1438	0.000165695808205754	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	24	Distance from start (nt)	17210	0.00187325946602853	19857	0.00217324828439576	18448	0.00241806903660501	55515	0.0021390230511666	18505	0.00215485892900977	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	25	Distance from start (nt)	5099	0.000555011622154531	4977	0.000544707494155093	3426	0.000449062473948871	13502	0.000520239381011463	4500.66666666667	0.000516260530086165	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	26	Distance from start (nt)	1762	0.000191788679787465	1609	0.00017609691743933	832	0.000109054284391553	4203	0.000161943868937282	1401	0.000158979960539449	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	27	Distance from start (nt)	25633	0.00279007901758916	31215	0.00341632397630123	22539	0.0029542962931505	79387	0.00305882415496645	26462.3333333333	0.00305356642901363	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	28	Distance from start (nt)	8548	0.000930425445416147	12209	0.00133621334059464	9234	0.00121034526691298	29991	0.00115556949162456	9997	0.00115899468430792	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	29	Distance from start (nt)	1956	0.000212905027051238	1559	0.000170624670160295	978	0.000128191214104494	4493	0.000173117726180159	1497.66666666667	0.000170573637105342	UPF1-FLAG	Total	+CHX
