CHX	size	sample	distance	reg	reads_rep1	fraction_rep1	reads_rep2	fraction_rep2	reads_sum	fraction_sum	reads_ave	fraction_ave	strain	ribo
-CHX	S	Total_FLAG-Upf1	-10	Distance from start (nt)	50	6.04702407804047e-05	17	4.49104564751632e-05	67	5.55839466925063e-05	33.5	5.2690348627784e-05	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	-9	Distance from start (nt)	15	1.81410722341214e-05	7	1.84925409015378e-05	22	1.8251445182614e-05	11	1.83168065678296e-05	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	-8	Distance from start (nt)	6	7.25642889364857e-06	5	1.32089577868127e-05	11	9.125722591307e-06	5.5	1.02326933402306e-05	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	-7	Distance from start (nt)	42	5.079500225554e-05	7	1.84925409015378e-05	49	4.06509460885494e-05	24.5	3.46437715785389e-05	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	-6	Distance from start (nt)	5	6.04702407804047e-06	3	7.92537467208762e-06	8	6.63688915731418e-06	4	6.98619937506405e-06	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	-5	Distance from start (nt)	9	1.08846433404729e-05	4	1.05671662294502e-05	13	1.07849448806355e-05	6.5	1.07259047849615e-05	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	-4	Distance from start (nt)	26	3.14445252058105e-05	3	7.92537467208762e-06	29	2.40587231952639e-05	14.5	1.9684949938949e-05	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	-3	Distance from start (nt)	17	2.05598818653376e-05	1	2.64179155736254e-06	18	1.49330006039569e-05	9	1.16008367113501e-05	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	-2	Distance from start (nt)	4	4.83761926243238e-06	6	1.58507493441752e-05	10	8.29611144664273e-06	5	1.03441843033038e-05	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	-1	Distance from start (nt)	135	0.000163269650107093	68	0.000179641825900653	203	0.000168411062366847	101.5	0.000171455738003873	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	0	Distance from start (nt)	496	0.000599864788541615	322	0.000850656881470738	818	0.000678621916335375	409	0.000725260835006177	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	1	Distance from start (nt)	176	0.000212855247547025	126	0.00033286573622768	302	0.00025054256568861	151	0.000272860491887352	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	2	Distance from start (nt)	36	4.35385733618914e-05	27	7.13283720487886e-05	63	5.22655021138492e-05	31.5	5.743347270534e-05	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	3	Distance from start (nt)	88	0.000106427623773512	62	0.000163791076556478	150	0.000124441671699641	75	0.000135109350164995	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	4	Distance from start (nt)	36	4.35385733618914e-05	23	6.07612058193384e-05	59	4.89470575351921e-05	29.5	5.21498895906149e-05	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	5	Distance from start (nt)	70	8.46583370925666e-05	22	5.81194142619759e-05	92	7.63242253091131e-05	46	7.13888756772713e-05	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	6	Distance from start (nt)	305	0.000368868468760469	111	0.000293238862867242	416	0.000345118236180338	208	0.000331053665813855	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	7	Distance from start (nt)	116	0.000140290958610539	34	8.98209129503264e-05	150	0.000124441671699641	75	0.000115055935780433	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	8	Distance from start (nt)	86	0.000104008814142296	54	0.000142656744097577	140	0.000116145560252998	70	0.000123332779119937	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	9	Distance from start (nt)	600	0.000725642889364857	204	0.000538925477701958	804	0.000667007360310075	402	0.000632284183533408	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	10	Distance from start (nt)	127	0.000153594411582228	55	0.00014529853565494	182	0.000150989228328898	91	0.000149446473618584	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	11	Distance from start (nt)	42	5.079500225554e-05	15	3.96268733604381e-05	57	4.72878352458636e-05	28.5	4.52109378079891e-05	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	12	Distance from start (nt)	477	0.000576886097045061	117	0.000309089612211417	594	0.000492789019930578	297	0.000442987854628239	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	13	Distance from start (nt)	90	0.000108846433404729	31	8.18955382782388e-05	121	0.000100382948504377	60.5	9.53709858414836e-05	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	14	Distance from start (nt)	154	0.000186248341603647	50	0.000132089577868127	204	0.000169240673511512	102	0.000159168959735887	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	15	Distance from start (nt)	665	0.000804254202379383	224	0.000591761308849209	889	0.000737524307606539	444.5	0.000698007755614296	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	16	Distance from start (nt)	302	0.000365240254313645	82	0.000216626907703728	384	0.000318570679551081	192	0.000290933581008687	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	17	Distance from start (nt)	44	5.32138118867562e-05	16	4.22686649178007e-05	60	4.97766686798564e-05	30	4.77412384022784e-05	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	18	Distance from start (nt)	164	0.000198342389759728	101	0.000266820947293617	265	0.000219846953336032	132.5	0.000232581668526672	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	19	Distance from start (nt)	44	5.32138118867562e-05	45	0.000118880620081314	89	7.38353918751203e-05	44.5	8.60472159840352e-05	FLAG-UPF1	Total
-CHX	S	Total_FLAG-Upf1	20	Distance from start (nt)	38	4.59573829931076e-05	17	4.49104564751632e-05	55	4.5628612956535e-05	27.5	4.54339197341354e-05	FLAG-UPF1	Total
