,T4816,T4816minus,T4819,T4819minus,T4869,T4869minus,T4870,T4870minus,T4902,T4903,T5017,T5019,T5020,T5033,T5034,T5035,T5041,T5042,T5043,T5334,T5337,T5338
YMR056C_mRNA,16.98,8.1,13.8,7.65,12.51,6.24,13.48,7.66,16.96,15.49,6.03,3.95,3.96,4.73,5.28,4.86,3.75,3.77,3.63,1.72,5.09,4.83
YBR085W_mRNA,15.87,8.75,11.37,8.61,17.47,9.37,21.77,13.51,17.19,14.93,9.7,12.96,8.18,6.56,8.77,11.89,9.11,9.96,10.9,11.06,14.42,11.27
YJR155W_mRNA,38.66,20.69,32.57,20.28,27.88,10.22,29.12,11.61,52.08,46.98,33.4,31.3,30.41,61.04,63.33,61.75,18.27,16.83,16.18,59.54,57.51,57.13
YNL331C_mRNA,23.04,16.1,20.66,16.02,16.89,7.45,17.55,9.87,28.4,26.53,29.95,30.14,30.2,41.46,37.8,41.2,14.53,13.67,13.2,45.41,43.3,51.15
YOL165C_mRNA,9.62,6.08,9.3,5.46,4.22,1.3,4.9,1.95,13.62,12.67,9.63,5.07,7.02,19.5,20.04,16.27,3.24,3.2,2.97,24.92,18.89,24.15
YCR107W_mRNA,33.65,25.57,29.43,25.1,27.06,19.18,28.63,20.94,44.61,40.22,36.84,35.22,33.59,54.4,54.37,55.63,20.86,20.39,20.23,49.74,49.62,52.24
YDL243C_mRNA,16.32,9.92,14.74,10.51,12.23,5.15,13.49,6.34,21.96,20.26,18.81,19.09,16.46,34.63,31.55,31.14,9.15,8.1,8.21,28.02,33.7,30.82
YNL141W_mRNA,100.69,135.94,89.74,126.22,111.26,155.73,116.39,167.23,111.41,97.41,90.4,96.71,104.48,88.29,96.52,86.37,111.24,104.96,103.31,94.06,98.13,96.25
YHR047C_mRNA,133.82,135.91,135.5,135.02,146.48,139.72,158.38,145.64,153.56,136.88,116.22,121.65,111.56,102.96,96.25,107.28,107.04,110.55,110.96,109.22,112.55,116.21
YBL074C_mRNA,36.05,21.48,31.72,20.74,34.93,17.16,35.4,18.28,50.59,45.18,39.95,34.17,32.88,61.48,55.83,60.2,23.66,25.91,24.41,59.57,52.98,58.67
YKL106W_mRNA,55.43,55.84,59.28,53.95,66.43,58.46,73.22,63.24,65.51,60.29,79.33,72.99,79.57,82.44,79.43,71.56,98.52,92.1,91.77,84.05,84.3,76.4
YLR027C_mRNA,282.07,311.47,329.05,303.11,279.98,310.48,299.43,331.32,258.9,276.39,328.5,351.95,370.67,364.51,401.45,370.69,336.11,365.63,362.94,387.69,408.42,400.72
YBR236C_mRNA,62.47,53.98,59.9,53.09,59.14,54.61,65.08,55.78,64.69,61.25,32.29,38.68,34.9,40.68,36.73,37,39.85,40.86,39.64,33.29,35.97,38.24
YKL112W_mRNA,57.46,37.89,53.58,34.81,59.25,39.39,49.27,36.9,58.16,59.52,73.29,63.23,62.27,74.51,69.29,67.25,81.44,73.22,71.98,68.04,59.31,60.45
YMR072W_mRNA,180.57,186.9,189.19,181.26,200.6,197.92,209.28,204.83,216.83,192.62,202.65,233.11,208.77,225.26,220.82,247.42,223.49,203.74,210.83,223.25,198.18,232.83
YJR108W_mRNA,13.49,8.14,12.46,7.46,8.21,3.19,7.55,3.31,14.06,13.48,22.8,14.66,21.24,36.83,38.32,35.3,10.36,10.18,9,34.28,39.71,32.45
YCR088W_mRNA,97.28,87.08,94.19,89.15,85.51,77.04,86.15,76.69,87.93,93.79,197.42,182.39,176.34,174.36,198.71,204.04,126.95,141.92,141.1,196.51,199.75,194.23
YOR239W_pre-mRNA,104.94,97.04,98.31,100.27,103.01,99.74,106.56,106.55,109.92,102.08,127.18,112.71,114.09,114.22,107.94,110.69,130.58,125.26,124.7,115.07,114.7,112.25
YNR033W_mRNA,49.58,45.86,51.86,43.33,46.95,38.33,45.73,42.33,51.9,50.79,51.84,44.13,49.61,50.19,53.7,54.02,42.18,41.78,40.11,54.86,54.54,51.72
YMR289W_mRNA,63.07,53.47,56.79,54.39,57.65,50.5,61.78,53.05,69.08,61.32,44.6,54.06,39.46,56.27,50.6,63.03,43.71,43.34,42.16,49.72,50.77,60.1
YER045C_mRNA,22.49,10.15,13.17,11.72,15.07,7.84,12.86,7.56,17.66,16.54,34.77,28.81,23.48,37.59,38.68,39.71,28.04,30.96,29.82,44.88,45.5,38.06
YGR037C_mRNA,340.28,379.24,310.39,393.08,398.66,472.01,358,446.58,414.83,372.11,535.97,518.27,554.27,705.8,628.9,627.67,531.67,507.99,504.95,647.96,590.16,662.93
YNR016C_mRNA,411.12,452.55,426.54,451.96,412.66,370.82,400.05,377.74,376.56,387.07,488.25,486.93,486.94,523.79,479.87,496.67,419.28,461.25,462.43,457.97,472.78,479.61
YLR131C_mRNA,28.11,13.23,24.72,13.38,26.56,14.47,25.47,14.42,24.94,24.86,68.79,59.1,53.16,60.43,65.2,64.37,63.61,65.83,64.14,67.88,58.4,57.1
YLR144C_mRNA,32.79,23.52,30.62,24.12,31.57,19.75,31.36,19.02,38,35.38,39.26,32.06,30.93,46.54,43.66,44.41,35.36,34.35,33.97,44.97,42.04,42.36
YJR083C_mRNA,29.67,14.91,21.51,15.92,28.76,14.73,25.31,14.13,29.53,26.39,30.6,25.36,21.23,27.83,27.98,28.74,33.11,33.35,32.15,27.33,27.57,24.99
YBL015W_mRNA,55.43,43.56,60.98,42.19,50.43,30.02,49.77,30.65,68.85,66.31,38.76,42.42,39.64,40.13,42.22,46.44,27.15,28.14,27.95,39.87,40.79,43.32
YDL203C_mRNA,34.15,26.69,33.44,26.68,30.96,24.84,36.1,27.33,34.83,32.31,51.5,44.71,43.69,52.28,52.71,48.37,48.37,47.29,44.67,53.46,53.23,49.09
YPL267W_mRNA,40.27,21.97,34.46,20.56,52.58,25.95,40.05,20.81,52.6,46.5,68.62,57.37,56.24,63.13,65.54,64.25,68.1,63.22,58.22,66.16,56.64,60.94
