,T4816,T4816minus,T4819,T4819minus,T4869,T4869minus,T4870,T4870minus,T4902,T4903,T5017,T5019,T5020,T5033,T5034,T5035,T5041,T5042,T5043,T5334,T5337,T5338
YMR056C_mRNA,17.18,7.75,14.11,7.32,12.32,5.68,13.71,7.16,17.31,15.51,6.59,4.24,4.08,5.47,5.65,5.5,4.05,4.06,3.92,1.86,5.52,5.24
YBR085W_mRNA,16.06,8.37,11.62,8.24,17.2,8.54,22.13,12.64,17.54,14.95,10.61,13.92,8.41,7.59,9.39,13.44,9.85,10.7,11.76,11.95,15.63,12.22
YJR155W_mRNA,39.12,19.8,33.29,19.4,27.45,9.32,29.61,10.86,53.14,47.04,36.53,33.59,31.29,70.63,67.77,69.79,19.73,18.09,17.45,64.35,62.35,61.93
YNL331C_mRNA,23.32,15.41,21.13,15.33,16.63,6.79,17.85,9.23,28.99,26.56,32.75,32.36,31.07,47.98,40.45,46.57,15.69,14.69,14.23,49.08,46.95,55.45
YOL165C_mRNA,9.73,5.81,9.51,5.23,4.15,1.19,4.98,1.83,13.9,12.69,10.53,5.45,7.22,22.56,21.44,18.39,3.5,3.44,3.2,26.94,20.48,26.19
YCR107W_mRNA,34.05,24.46,30.09,24.01,26.65,17.49,29.11,19.59,45.52,40.28,40.29,37.8,34.56,62.95,58.18,62.87,22.54,21.91,21.81,53.76,53.81,56.63
YDL243C_mRNA,16.52,9.5,15.07,10.06,12.04,4.7,13.71,5.93,22.41,20.28,20.57,20.49,16.93,40.08,33.76,35.19,9.88,8.7,8.85,30.28,36.54,33.41
YNL141W_mRNA,101.9,130.08,91.75,120.77,109.54,141.94,118.34,156.43,113.69,97.54,98.86,103.8,107.5,102.17,103.28,97.61,120.17,112.79,111.37,101.67,106.41,104.34
YHR047C_mRNA,135.43,130.05,138.53,129.2,144.22,127.35,161.04,136.23,156.7,137.06,127.1,130.58,114.78,119.14,102.99,121.24,115.63,118.8,119.62,118.06,122.04,125.99
YBL074C_mRNA,36.49,20.55,32.43,19.84,34.39,15.64,36,17.1,51.62,45.24,43.69,36.68,33.83,71.14,59.74,68.03,25.56,27.85,26.32,64.38,57.45,63.61
YKL106W_mRNA,56.1,53.43,60.61,51.63,65.4,53.28,74.45,59.16,66.85,60.37,86.75,78.34,81.87,95.4,85,80.88,106.43,98.97,98.94,90.85,91.41,82.83
YLR027C_mRNA,285.46,298.05,336.42,290.03,275.65,282.98,304.45,309.93,264.21,276.76,359.25,377.77,381.38,421.81,429.58,418.94,363.09,392.91,391.27,419.04,442.86,434.43
