,T4816,T4816minus,T4819,T4819minus,T4869,T4869minus,T4870,T4870minus,T4902,T4903,T5017,T5019,T5020,T5033,T5034,T5035,T5041,T5042,T5043,T5334,T5337,T5338
YMR056C_mRNA,864.6,1229.87,1376.92,975.65,1915.73,883.06,895.22,376.26,2461.78,2288.75,810.52,496.82,367.18,439,563,606.61,615.6,503.22,572.6,193,630.73,644.57
YBR085W_mRNA,807.39,1328,1133,1096.94,2672,1326,1444.02,663,2492,2204,1303,1629,756.98,608,935,1482,1496,1325.99,1717.26,1238,1785.04,1501.12
YJR155W_mRNA,1844.59,2945.49,3044.88,2424.1,4000.41,1356.38,1812.21,534.34,7081.21,6506.93,4209,3689,2640.61,5308.97,6329.97,7219.28,2812.26,2102.83,2390.54,6250.95,6677.99,7138.32
YNL331C_mRNA,1409.01,2936.5,2475.85,2453.98,3105.5,1266.68,1399.69,582.32,4949.51,4707.67,4835.5,4552.84,3360.66,4621.39,4841.77,6172.36,2865.98,2188.52,2498.31,6109.25,6442.88,8190.59
YOL165C_mRNA,246.1,463.79,466.19,350.23,324.58,92.51,163.35,48.16,993.33,940.9,650.85,320.76,326.83,909.46,1074.03,1019.96,267.52,214.56,234.9,1403.06,1176.46,1618.51
YCR107W_mRNA,1990.71,4511.61,3411.43,3719.65,4814.68,3156.03,2208.46,1195.4,7521.31,6907.37,5754.99,5146.63,3616.11,5866.62,6738.36,8063.26,3982.34,3158.38,3706.03,6474.98,7145.08,8092.68
YDL243C_mRNA,881.01,1597.77,1558.7,1421.03,1985.29,773.59,949.16,329.96,3378.37,3173.43,2681.24,2544.61,1616.19,3407.38,3567.46,4117.06,1592.97,1144.46,1371.09,3327.26,4426.7,4355.83
YNL141W_mRNA,5137.35,20688.77,8972,16132.83,17069.48,22094.49,7744,8232.07,16199.29,14425.66,12179.98,12188.03,9701.27,8211.97,10316.02,10796,18313.99,14019.98,16319,10560,12185.65,12859.99
YHR047C_mRNA,17596.57,53311.58,34913.53,44478.85,57918.76,51091.49,27160.08,18477.14,57545.41,52245.18,40356.44,39514.66,26696.2,24679.3,26512.43,34560.94,45417.78,38059.15,45171.05,31602.38,36018.58,40017.98
YBL074C_mRNA,2089,3712,3601,3010,6086,2765,2674.88,1021.7,8352.81,7597.58,6113,4891,3467,6493.01,6776.27,8545,4424,3931,4379,7594.19,7471,8902.64
YKL106W_mRNA,4024,12090.22,8432,9811.79,14499.99,11800.88,6931.66,4429,13551.72,12703.98,15206.19,13087.19,10511,10909,12078.6,12726.92,23077.42,17504,20625.15,13425,14893.29,14523.35
YLR027C_mRNA,17089.35,56289.7,39064.98,46004.88,51005.77,52307.01,23657.28,19366.79,44701.64,48605.65,52555.79,52670.91,40867.61,40256.99,50949.34,55022.55,65707.07,57995.88,68076.11,51681.76,60221.55,63577.75
YBR236C_mRNA,4163,10730.6,7822.45,8862.8,11850,10119.97,5655.48,3586,12285.87,11847.94,5682.22,6367,4232,4941.47,5127,6040,8569.05,7128.2,8178.53,4881.88,5834.03,6673.8
YKL112W_mRNA,6625.91,13032.88,12106.67,10057.6,20546.54,12632.88,7410,4106,19112.29,19923.51,22317.28,18013.09,13068.4,15663.5,16739.5,19001.16,30302.67,22106.47,25699.92,17264.97,16646.84,18255.06
YMR072W_mRNA,5015.19,15484.09,10297,12612,16753.16,15286.03,7580.31,5489,17163,15529.18,14863.45,15993.49,10552,11404.8,12847.59,16836.31,20029.72,14815.53,18128.92,13643.29,13395.97,16935
