,QU5017_27-32nt,QU5017_37-43nt,QU5019_27-32nt,QU5019_37-43nt,QU5020_27-32nt,QU5020_37-43nt,QU5033_27-32nt,QU5034_27-32nt,QU5035_27-32nt,QU5334_27-32nt,QU5334_37-43nt,QU5337_27-32nt,QU5337_37-43nt,QU5338_27-32nt,QU5338_37-43nt,RU4816_27-32nt,RU4816_37-43nt,RU4816minus_20-23nt,RU4816minus_20-32nt,RU4816minus_27-32nt,RU4819_27-32nt,RU4819_37-43nt,RU4819minus_20-23nt,RU4819minus_20-32nt,RU4819minus_27-32nt,RU4902_27-32nt,RU4902_37-43nt,RU4903_27-32nt,RU4903_37-43nt
YMR056C_mRNA,9.3,0,1.46,0,0,0,3.39,2.41,3.58,2.69,11.03,9.32,11.88,0,0,2.8,4.15,0,0,0,39.12,0,0,0,0,0,0,0,0
YBR085W_mRNA,9.31,7.2,10.97,3.03,6.96,4.64,2.55,11.98,5.38,17.07,7.36,6.22,0,14.66,14.31,0,0,11,8.49,0,0,0,81.25,61.99,0,0,0,0,0
YJR155W_mRNA,0,0,0.77,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL331C_mRNA,0,0,0,0,0,0,2.92,1.09,0,0.77,3.14,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL165C_mRNA,11.04,0,0,0,0,0,0,1.05,2.55,0,0,0,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0
YCR107W_mRNA,0,0,0,0,0,0,2.88,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL243C_mRNA,0,0,0,0,0,0,1.09,1.27,0.89,1.82,0,4.92,0,0,0,0,0,0,3.66,11.77,0,0,0,0,0,0,0,0,0
YNL141W_mRNA,130.02,93.32,172.12,238.4,151.52,120.41,131.29,147.19,104.56,164.9,124.84,130.22,106.72,133.03,128.46,262.48,234.06,304.76,289.66,236.54,259.16,196.45,71.64,153.69,475.7,63.66,0,65.58,0
YHR047C_mRNA,199.02,76.03,202.75,129.12,211.75,117.72,155.06,153.72,166.26,204.5,124.44,218.46,103.81,201.03,94.73,160.49,102.67,206.02,169.88,47.7,199.5,129.46,156.89,153.9,141.77,243.91,0,307.13,205.4
YBL074C_mRNA,30.52,0,13.72,10.81,11.4,4.15,12.14,26.92,19.22,18.47,6.57,29.17,7.08,17.03,12.78,10.01,9.27,0,0,0,12.72,9.77,0,0,0,0,0,0,0
YKL106W_mRNA,88.68,57.86,70.71,50.86,77.31,61.09,69.05,57.36,68.26,48.71,80.72,74.01,46.34,63.35,62.76,36.92,19.73,32.25,24.89,0,31.29,43.99,52.28,41.84,0,140.26,0,0,0
YLR027C_mRNA,461.59,241,555.02,241.59,490.46,279.06,465.74,493.97,593.82,546.84,268.67,562.51,272.19,522.87,303.07,851.92,392.26,582.87,578.84,568.67,911.78,314.73,347.26,465.99,942.97,1228.94,0,791.31,250.41
