,QU5017_27-32nt,QU5017_37-43nt,QU5019_27-32nt,QU5019_37-43nt,QU5020_27-32nt,QU5020_37-43nt,QU5033_27-32nt,QU5034_27-32nt,QU5035_27-32nt,QU5334_27-32nt,QU5334_37-43nt,QU5337_27-32nt,QU5337_37-43nt,QU5338_27-32nt,QU5338_37-43nt,RU4816_27-32nt,RU4816_37-43nt,RU4816minus_20-23nt,RU4816minus_20-32nt,RU4816minus_27-32nt,RU4819_27-32nt,RU4819_37-43nt,RU4819minus_20-23nt,RU4819minus_20-32nt,RU4819minus_27-32nt,RU4902_27-32nt,RU4902_37-43nt,RU4903_27-32nt,RU4903_37-43nt
YMR056C_mRNA,12.79,0,2.11,0,0,0,4.61,3.26,4.91,3.84,13.8,13.34,14.39,0,0,3.88,5.03,0,0,0,56.15,0,0,0,0,0,0,0,0
YBR085W_mRNA,12.8,8.24,15.87,3.72,9.71,5.59,3.47,16.2,7.37,24.36,9.21,8.9,0,20.13,17.32,0,0,15.29,11.75,0,0,0,112.58,84.92,0,0,0,0,0
YJR155W_mRNA,0,0,1.12,0,0,0,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL331C_mRNA,0,0,0,0,0,0,3.97,1.48,0,1.09,3.92,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL165C_mRNA,15.18,0,0,0,0,0,0,1.42,3.49,0,0,0,0,0,0,6.91,0,0,0,0,0,0,0,0,0,0,0,0,0
YCR107W_mRNA,0,0,0,0,0,0,3.92,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL243C_mRNA,0,0,0,0,0,0,1.48,1.72,1.22,2.59,0,7.05,0,0,0,0,0,0,5.07,15.89,0,0,0,0,0,0,0,0,0
YNL141W_mRNA,178.78,106.79,249.11,293.3,211.41,144.96,178.45,199.03,143.31,235.28,156.13,186.47,129.3,182.75,155.48,364.46,283.53,423.67,400.95,319.33,371.98,226.7,99.27,210.52,609.28,93.85,0,95.11,0
YHR047C_mRNA,273.64,87,293.45,158.86,295.44,141.72,210.76,207.86,227.89,291.79,155.63,312.82,125.78,276.16,114.66,222.84,124.37,286.41,235.15,64.4,286.35,149.4,217.39,210.81,181.57,359.59,0,445.41,232.15
YBL074C_mRNA,41.96,0,19.86,13.3,15.91,4.99,16.51,36.4,26.34,26.35,8.22,41.77,8.57,23.39,15.47,13.9,11.23,0,0,0,18.26,11.28,0,0,0,0,0,0,0
YKL106W_mRNA,121.93,66.21,102.34,62.57,107.86,73.54,93.86,77.57,93.56,69.5,100.95,105.98,56.15,87.03,75.96,51.26,23.9,44.83,34.46,0,44.91,50.76,72.45,57.31,0,206.79,0,0,0
YLR027C_mRNA,634.67,275.77,803.3,297.22,684.31,335.95,633.04,667.93,813.93,780.25,335.99,805.45,329.79,718.29,366.82,1182.92,475.19,810.3,801.23,767.7,1308.69,363.2,481.17,638.3,1207.74,1811.77,0,1147.6,283.03
YBR236C_mRNA,50.6,77.98,34.3,29.37,29.42,52.93,31.94,32.19,28.15,28.38,58.13,36.95,56.83,38.2,22.78,27.66,21.84,4.03,12.39,39.96,52.5,49.82,117.47,134.26,193.15,104.13,0,25.13,0
YKL112W_mRNA,47.12,31.49,38.1,35.58,45.83,34.73,46.54,37.14,44.21,37.54,44,32.05,68.84,14.5,85.53,31.72,38.47,19.62,37.69,97.07,36.79,75.43,0,17.78,87.97,0,226.04,68.66,0
YMR072W_mRNA,27.9,54.13,32.86,97.86,26.44,9.19,39.61,57.23,50.17,46.09,90.78,58.19,31.56,59.23,94.87,31.76,124.01,8.28,6.37,0,33.39,83,0,0,0,30.75,0,0,0
YJR108W_mRNA,8.15,0,0,0,0,10.75,0,0,4.69,2.45,8.86,4.25,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCR088W_mRNA,101.95,261.44,71.3,288.59,79.28,276.41,102.52,104.76,88.76,71.46,320.41,83.16,225.69,88.8,296.06,116.67,469.95,96.9,91.3,72.25,65.71,377.73,202.07,159.86,0,57.63,0,107.08,804.97
YOR239W_pre-mRNA,46.79,206.88,46.41,278.48,83.38,320.52,59.48,60.28,72.71,63.25,206.16,52.46,230.73,52.98,233.31,29.83,182.71,33.59,34.45,36.95,50.41,199.98,72.37,57.25,0,123.8,242.14,113.27,168.02
YNR033W_mRNA,76.66,3.68,82.22,31.61,74.12,37.48,80.86,62.18,64.53,78.88,49.39,78.96,23.61,75.05,20.64,52.37,28.11,71.13,65.26,45.4,128.48,31.04,14.83,23.47,54.87,363.39,0,206.98,68.76
YMR289W_mRNA,47.52,21.13,21.75,25.47,12.47,28.69,30.65,29.3,28.4,21.96,31.51,26.69,53.39,18.97,14.82,23.31,30.13,13.09,10.06,0,4.38,16.2,56.42,44.63,0,16.12,0,13.61,0
YER045C_mRNA,11.01,5.3,3.41,21.54,4.17,39.53,7.44,6.3,4.75,4.96,38.48,7.18,49.39,7.79,7.42,5.01,50.14,0,12.65,54.34,0,28.42,0,0,0,0,0,0,0
YGR037C_mRNA,343.81,836.67,323.98,1384.04,407.34,1555.97,488.19,503.6,504.57,503.49,1113.16,354.11,936.51,421.74,950.18,109.61,761.6,162.95,195.7,305.43,72.02,525.96,0,0,0,75.8,0,128.04,714.44
YNR016C_mRNA,575.97,626.88,710.93,759.7,676.36,791.11,637.7,609.03,591.37,691.43,806.39,607.11,703.61,568.24,675.13,448,547.11,451,499.12,652.99,539.7,366.51,487.54,531.25,679.29,478.77,370.89,567.69,555.15
YLR131C_mRNA,19.55,26.28,27.63,47.52,25.2,63.71,25.38,26.12,22.5,35.23,67.17,20.39,30.65,30.44,89.5,24.93,50.47,23.51,18.19,0,46.8,37.42,0,0,0,17.24,0,0,230.45
YLR144C_mRNA,9.67,3.72,31.66,38.62,23.47,50.44,30.34,25.1,25.61,33.12,39.46,21.18,23.83,25.55,39.07,22.91,26.1,44.07,33.86,0,34.73,28.48,0,0,0,0,0,129.67,0
YJR083C_mRNA,29.85,32.91,6.34,7.44,6.47,11.17,10.38,9.77,7.36,10.25,36.8,11.12,14.39,12.07,40.38,34.95,75.4,5.09,7.82,16.84,10.21,63.08,0,0,0,0,0,0,0
YBL015W_mRNA,68.51,42.18,87.66,40.51,85.19,64.41,79.3,74.26,93.05,81.49,32.42,81.46,73.76,77.57,29.57,99.84,46.7,124.5,108.28,54.1,114.81,84.87,42.36,33.51,0,181.25,0,163.28,0
YDL203C_mRNA,30.72,36.34,19.34,32.85,13.44,80.16,19.81,22.1,22.44,22,63.48,18.48,58.26,20.07,76.42,34.44,54.11,8.49,17.41,46.65,2.83,38.31,0,28.91,135.28,0,0,0,84.85
YPL267W_mRNA,21.93,113.57,25.38,44.92,24.95,28.91,17.8,36.28,37.87,15.37,71.43,26.69,8.28,17.25,9.95,39.96,56.37,52.08,40.03,0,26.26,43.53,0,0,0,0,0,0,189.42
YLR304C_mRNA,695.26,524.49,704.04,477.47,558.75,477.17,809.78,862.28,877.17,989,596.8,891.8,635.39,912.78,651.92,603.29,460.18,827.65,796.52,688.18,672.31,484.79,644.4,646.12,637.56,1349.21,1108.18,951.99,456.6
YJL200C_mRNA,168.27,58.76,157.43,73.04,134.84,57.33,154.12,163.49,160.67,211.38,75.96,214.39,83.5,181.33,97.83,80.12,46,119.04,109.09,75.5,96.14,42.23,170.18,146.34,54.74,312,224.1,85.45,0
YKL192C_mRNA,54.88,445.66,127.02,362.57,197.66,350.88,168.22,212.96,210.56,167.6,388.65,166.95,249.42,129.46,399.9,308.25,615.32,64.97,91.55,180.57,164.23,286.99,594.96,470.67,0,40.33,127.97,579.04,95.14
YAL054C_mRNA,0,0,0,5.46,0,8.2,0.57,1.6,1.81,0.63,0,0,0,0,0,0,2.46,0,0,0,5.02,0,32.42,25.65,0,0,0,23.41,0
