,QU5017_27-32nt,QU5017_37-43nt,QU5019_27-32nt,QU5019_37-43nt,QU5020_27-32nt,QU5020_37-43nt,QU5033_27-32nt,QU5034_27-32nt,QU5035_27-32nt,QU5334_27-32nt,QU5334_37-43nt,QU5337_27-32nt,QU5337_37-43nt,QU5338_27-32nt,QU5338_37-43nt,RU4816_27-32nt,RU4816_37-43nt,RU4816minus_20-23nt,RU4816minus_20-32nt,RU4816minus_27-32nt,RU4819_27-32nt,RU4819_37-43nt,RU4819minus_20-23nt,RU4819minus_20-32nt,RU4819minus_27-32nt,RU4902_27-32nt,RU4902_37-43nt,RU4903_27-32nt,RU4903_37-43nt
YMR056C_mRNA,3,0,2,0,0,0,4,4,4,3,3,6,3,0,0,1,2,0,0,0,11,0,0,0,0,0,0,0,0
YBR085W_mRNA,3,1,15,1,6,1,3,19.89,6,19,2,4,0,10,3,0,0,3,3,0,0,0,6.84,6.52,0,0,0,0,0
YJR155W_mRNA,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL331C_mRNA,0,0,0,0,0,0,4.03,2.12,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL165C_mRNA,2.05,0,0,0,0,0,0,1,1.63,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0
YCR107W_mRNA,0,0,0,0,0,0,3.87,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL243C_mRNA,0,0,0,0,0,0,1.35,2.22,1.05,2.13,0,3.33,0,0,0,0,0,0,1.36,0.99,0,0,0,0,0,0,0,0,0
YNL141W_mRNA,42,13,236,79,131,26,155,245,117,184,34,84,27,91,27,94,113,83.44,102.74,19,73,36,6.05,16.22,10,5,0,6,0
YHR047C_mRNA,151,25,653,101,430,60,430,601,437,536,80,331,62,323,47,135,117,132,141,9,132,56,31,38,7,45,0,66,25
YBL074C_mRNA,11,0,21,4,11,1,16,50,24,23,2,21,2,13,3,4,5,0,0,0,4,2,0,0,0,0,0,0,0
YKL106W_mRNA,39,11,132,23,91,18,111,130,104,74,30,65,16,59,18,18,13,12,12,0,12,11,6,6,0,15,0,0,0
YLR027C_mRNA,173,39,883,93,492,70,638,954,771,708,85,421,80,415,74,354,220,185,238,53,298,67,33.99,57,23,112,0,84,15
YBR236C_mRNA,15,12,41,10,23,12,35,50,29,28,16,21,15,24,5,9,11,1,4,3,13,10,9.02,13.03,4,7,0,2,0
YKL112W_mRNA,23,8,75,20,59,13,84,95,75,61,20,30,30,15,31,17,32,8,20,12,15,25,0,2.84,3,0,16,9,0
YMR072W_mRNA,4,4,19,16,10,1,21,43,25,22,12,16,4,18,10,5,30,1,1,0,4,8,0,0,0,1,0,0,0
YJR108W_mRNA,1,0,0,0,0,1,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCR088W_mRNA,39,52,110,127,80,81,145,210,118,91,114,61,77,72,84,49,306,31,38,7,21,98,20,20,0,5,0,11,60
YOR239W_pre-mRNA,20,46,80,137,94,105,94,135,108,90,82,43,88,48,74,14,133,12,16.01,4,18,58,8,8,0,12,15,13,14
YNR033W_mRNA,40,1,173,19,102,15,156,170,117,137,24,79,11,83,8,30,25,31,37.01,6,56,11,2,4,2,43,0,29,7
YMR289W_mRNA,13,3,24,8,9,6,31,42,27,20,8,14,13,11,3,7,14,3,3,0,1,3,4,4,0,1,0,1,0
YER045C_mRNA,4,1,5,9,4,11,10,12,6,6,13,5,16,6,2,2,31,0,5,5,0,7,0,0,0,0,0,0,0
YGR037C_mRNA,40,50,152,183,125,137,210,307,204,195,119,79,96,104,81,14,149,16,25,9,7,41,0,0,0,2,0,4,16
YNR016C_mRNA,801,455,3987,1220,2481,846,3279,4438,2858,3201,1047,1619,876,1675,699,684.01,1300,522.95,752.97,230,627,347,174.91,240.92,66,151,75,212,151
YLR131C_mRNA,10,7,57,28,34,25,48,70,40,60,32,20,14,33,34,14,44,10.05,10.11,0,20,13,0,0,0,2,0,0,23
YLR144C_mRNA,5,1,66,23,32,20,58,68,46,57,19,21,11,28,15,13,23,19.03,19.03,0,15,10,0,0,0,0,0,18,0
YJR083C_mRNA,7,4,6,2,4,2,9,12,6,8,8,5,3,6,7,9,30,1,2,1,2,10,0,0,0,0,0,0,0
YBL015W_mRNA,25,8,129,17,82,18,107,142,118,99,11,57,24,60,8,40,29,38,43,5,35,21,4,4,0,15,0,16,0
YDL203C_mRNA,13,8,33,16,15,26,31,49,33,31,25,15,22,18,24,16,39,3,8.02,5,1,11,0,4,4,0,0,0,7
YPL267W_mRNA,3,8,14,7,9,3,9,26,18,7,9,7,1,5,1,6,13,6,6,0,3,4,0,0,0,0,0,0,5
YLR304C_mRNA,359,141,1466,284,761,189,1545.99,2333,1574,1700,287,883,293,999,250,342,405,357,447,90,290,170,86,109,23,158,83,132,46
YJL200C_mRNA,88,16,332,44,186,23,298,448,292,368,37,215,39,201,38,46,41,52,62,10,42,15,23,25,2,37,17,12,0
YKL192C_mRNA,6,25,56,45,57,29,68,122,80,61,39,35,24,30,32,37,113,6,11,5,15,21,17,17,0,1,2,17,2
YAL054C_mRNA,0,0,0,3,0,3,1,4,3,1,0,0,0,0,0,0,2,0,0,0,2,0,4,4,0,0,0,3,0
YLR153C_mRNA,413,64,2207,188,1223,102,1604,2242,1704,1812,180,1070,199,1039,126,512,348,457.99,610.41,153,403,112,114,178,64,142,24,250,21
YFL039C_mRNA,2042,613,8038,1303,4683,697,6719,9595,6215,6223,1120,4124,1095,4098,973,1693,2274,1239.55,1540.36,301,1649,836,386,470,84,540,101,502.94,205
YFL039C_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR448W_mRNA,5,2,60,7,27,6,48,44,36,38,5,26,8,17,6,4,12,13.03,13.02,0,7,0,0,0,0,1,0,1,0
YMR184W_mRNA,0,1,11,9,9,10,8,21,18,12,10,1,9,5,10,2,23,0,3,3,1,3,4,4,0,0,0,0,0
YKL206C_mRNA,34,13,146,19,83,14,158,246,155,180,23,76,13,70,17,25,20,31,39,8,21,10,6,7,1,12,0,15,0
YAR015W_mRNA,11,9,93,22,65,15,92,125,92,91,20,50,25,52,25,41,18,32.91,37.97,5,11,12,0,0,0,8,0,0,0
YNL220W_mRNA,26,0,160,17,78,7,127,171,117,109,24,61,21,84,8,43,13,19.99,41,21,29,11,5,5,0,2,0,0,7
YLR359W_mRNA,54,8,214,23,134,9,157,222,147,210,20,83,18,93,11,32,28,46,55.99,10,26,7,12,12,0,3,0,8,1
YLR028C_mRNA,62,20,280,80,161,38,219,337,189,232,83,137,48,144,36,98,104,89,108,19,71,32,17,29,12,23,18,13,0
YMR120C_mRNA,12,0,38,8,27,4,31,56,30,40,6,23,8,15,3,7,8,6,9,3,1,0,0,0,0,0,0,0,0
YOR128C_mRNA,6,0,9,1,5,2,18,26,25,17,4,5,2,8,4,0,2,0,0,0,0,1,0,0,0,0,14,1,0
YGR204W_mRNA,184,101,740,247,558,150,760,902,642,688,186,422,155,361,113,289,454,241.93,311.68,70,212,177,62.13,66.08,4,46,26,129,42
YMR300C_mRNA,36,9,249,38,135,21,183,269,206,230,31,101,27,124,16,40,36,29,35,6,46,25,2,2.99,1,24,12,7,9
YGL234W_mRNA,68,75,335,142,268,107,345,425,273,313,114,165,114,184,88,76,130,59,77,18,47,36,20,24,4,24,0,25,16
YGR061C_mRNA,272,70,1513,161,883,82,1049,1376,853,1232,139,668,101,643,100,243.99,158,189.35,299.48,110,252,73,127,155,28,104,20,100,7
YDR408C_mRNA,11,10,62,26,44,25,44,60,33,41,22,25,19,27,7,14,19,3,5,2,4,17,5,5,0,1,0,0,1
YCL058W-A_mRNA,9,11,7,21,7,15,12,19,15,9,7,0,15,7,17,0,25,4,4,0,7,3,0,0,0,0,0,0,9
YOL086C_mRNA,3441,609,16914.15,1311.72,11040.9,782,13396.7,17383.4,12462,11515.42,1179.4,6881.46,1172.2,7593.96,933,2700,1458,1978.32,2982.51,1004.5,2318.3,460,596.89,790.9,194,707,159,718.31,124
YMR303C_mRNA,0,0,1.85,2.28,4.1,0,9.29,2.6,0,1.58,1.6,5.54,1.8,7.04,0,0,0,2.68,4.5,1.5,1.7,0,0,0,0,0,0,2.69,0
YMR083W_mRNA,49,24,277,71,150,43,222,269,204,215,70,102,41,128,35,59,156,45.95,63.91,18,39,27,22.06,38.07,16,9,8,17,7
YGL256W_mRNA,1,0,10,0,7,3,11,3,5,5,1,7,3,6,0,3,6,0,0,0,0,2,0,0,0,0,0,0,0
YBR145W_mRNA,1,0,12,2,13,1,10.01,23,24,9,1,10,2,11,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0
YMR318C_mRNA,33,18,170,70,145,61,183,275,175,132,48,87,72,90,50,64,114,30,38,8,45,35,18,24,6,54,0,6,8
YCR105W_mRNA,0,0,0,0,0,0,2,2,1,0,0,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
YMR009W_mRNA,30,16,114,55,61,32,159,215,145,138,51,52,29,59,36,41,123,31,49,18,28,14,5,5,0,0,0,0,7
YDR226W_mRNA,82,34,282,110,219,79,356,512,307,266,94,133,87,204,72,47,226,37,51,14,42,89,15.33,21.6,6,9,19,15,48
YER170W_mRNA,5,2,13,16,10,10,15,26,14,8,7,3,3,6,4,2,23,0,2,2,8,8,0,0,0,1,0,0,0
YJR105W_mRNA,220,52,1096,160,651.99,69,651,1144,737,788,103,409,83,457,63,282,183,154.16,215.18,61,178,56,64.8,70.78,6,42,1,69,24
YCR011C_mRNA,27,6,174,19,121,11,137,154,138,153,20,68,13,82,13,35,27,35.99,40,4,14,1,14.93,22.99,8,10,0,9,0
YDR216W_mRNA,9,9,21,31,10,23,62,92,50,28,28,11,14,19,10,3,23,8.42,12.35,4,8,3,6.05,6.16,0,11,0,0,0
YCR010C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
YDL239C_mRNA,0,0,0,1,1,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
