,Q5017_27-32nt,Q5019_27-32nt,Q5020_27-32nt,Q5033_27-32nt,Q5034_27-32nt,Q5035_27-32nt,Q5041_27-32nt,Q5042_27-32nt,Q5043_27-32nt,Q5334_27-32nt,Q5337_27-32nt,Q5338_27-32nt,R4816_27-32nt,R4816_37-43nt,R4816minus_20-23nt,R4816minus_20-32nt,R4816minus_27-32nt,R4819_27-32nt,R4819_37-43nt,R4819minus_20-23nt,R4819minus_20-32nt,R4819minus_27-32nt,R4869_27-32nt,R4869minus_20-23nt,R4869minus_20-32nt,R4869minus_27-32nt,R4870_27-32nt,R4870minus_20-23nt,R4870minus_20-32nt,R4870minus_27-32nt,R4902_27-32nt,R4902_37-43nt,R4903_27-32nt,R4903_37-43nt
YMR056C_mRNA,5.45,2.54,1.33,0,0.53,2.79,0,0,0,0,2.48,0.36,0,0,0,0,0,0,0,25.43,21.45,0,0,0,0,0,1.33,0,4.35,13.02,0,0,0,0
YBR085W_mRNA,7.47,8.49,5.01,4.62,2.1,7.39,16,4.78,6.25,7.08,8.7,11.66,0,0,2.59,2.18,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
YJR155W_mRNA,0.91,0.3,0,0,0,0,0,0,0,0,1.31,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL331C_mRNA,0.84,1.27,0,2.25,0,0.69,0,0,0,1.13,0,0.31,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL165C_mRNA,0,1.46,0,2.87,2.74,0.05,0,4.16,0,3.06,0,0.85,0,0,11.54,0,0,0,0,0,0,0,0,0,0,0,0,5.7,3.77,0,0,0,0,0
YCR107W_mRNA,0,0,0.33,0,0,2.85,0,0,0,1.38,0.55,0.44,0,0,0,7.8,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL243C_mRNA,2.09,1.54,0.71,0,3.38,0,0,1.14,0,0,0.89,2.45,0,0,0,0,0,0,0,54.32,44.3,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL141W_mRNA,142.45,193.34,187.55,138.27,169.83,178.22,119.7,157.41,179.19,161.1,162.37,179.14,272.67,201.75,177.41,173.41,153.27,206.36,280.5,133.77,124.29,0,260.76,154.25,182.43,228.12,158.21,184.56,159.86,110.45,72.04,0,142.99,0
YHR047C_mRNA,183.4,181.57,167.78,117.73,145.05,157.91,83.2,127.43,144.62,178.51,173.47,207.91,104.24,290.6,122.67,120.12,106.77,168.13,67.9,173.59,178.47,205.64,140.75,243.07,206.22,148.92,144.34,110.84,133.18,177.02,129.25,27.5,6.76,34.88
YBL074C_mRNA,18.75,19.98,22.69,12.98,32.41,24.95,0,9.62,8.38,29.66,29.71,28.65,0,0,19.28,15.7,0,12.75,0,0,0,0,37.55,0,0,0,1.19,8.81,5.85,0,0,0,0,0
YKL106W_mRNA,42.73,49.75,48.94,47.88,48.51,43.36,8.79,44.67,43.49,47.33,52.34,49.91,44.96,0,28.54,30.46,40.93,36.58,0,46.7,43.33,25.34,23.94,0,0,0,40.04,72.33,70.35,66.81,64.25,0,11.67,0
YLR027C_mRNA,264.8,303.59,254.38,358.64,306.29,276.47,261.36,257.97,260.53,286.05,302.3,315.05,599.48,208.41,559.78,524.43,336.24,625.53,275.96,279.23,286.36,327.1,734.39,266.12,446.72,734,421.67,409.86,374.88,307.97,452.35,502.96,314.94,0
