,Q5017_27-32nt,Q5019_27-32nt,Q5020_27-32nt,Q5033_27-32nt,Q5034_27-32nt,Q5035_27-32nt,Q5041_27-32nt,Q5042_27-32nt,Q5043_27-32nt,Q5334_27-32nt,Q5337_27-32nt,Q5338_27-32nt,R4816_27-32nt,R4816_37-43nt,R4816minus_20-23nt,R4816minus_20-32nt,R4816minus_27-32nt,R4819_27-32nt,R4819_37-43nt,R4819minus_20-23nt,R4819minus_20-32nt,R4819minus_27-32nt,R4869_27-32nt,R4869minus_20-23nt,R4869minus_20-32nt,R4869minus_27-32nt,R4870_27-32nt,R4870minus_20-23nt,R4870minus_20-32nt,R4870minus_27-32nt,R4902_27-32nt,R4902_37-43nt,R4903_27-32nt,R4903_37-43nt
YMR056C_mRNA,6.44,3.04,1.56,0,0.62,3.31,0,0,0,0,2.92,0.44,0,0,0,0,0,0,0,31.22,26.28,0,0,0,0,0,1.6,0,5.1,15.3,0,0,0,0
YBR085W_mRNA,8.82,10.13,5.86,5.31,2.47,8.77,17.64,5.42,7.23,8.34,10.22,14.01,0,0,3.15,2.65,0,0,0,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0
YJR155W_mRNA,1.07,0.36,0,0,0,0,0,0,0,0,1.54,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL331C_mRNA,0.99,1.51,0,2.59,0,0.82,0,0,0,1.33,0,0.37,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL165C_mRNA,0,1.75,0,3.3,3.22,0.06,0,4.71,0,3.6,0,1.02,0,0,14.03,0,0,0,0,0,0,0,0,0,0,0,0,6.64,4.42,0,0,0,0,0
YCR107W_mRNA,0,0,0.38,0,0,3.37,0,0,0,1.63,0.64,0.53,0,0,0,9.47,58.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL243C_mRNA,2.46,1.83,0.83,0,3.97,0,0,1.29,0,0,1.04,2.94,0,0,0,0,0,0,0,66.69,54.28,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL141W_mRNA,168.21,230.65,219.38,158.75,199.77,211.32,131.97,178.26,207.46,189.82,190.71,215.26,331.35,198.98,215.69,210.52,182.58,249.95,246.11,164.22,152.27,0,316.96,189.4,225.12,280.94,190.21,215.01,187.38,129.79,87.93,0,171.89,0
YHR047C_mRNA,216.56,216.6,196.25,135.17,170.62,187.24,91.73,144.31,167.43,210.33,203.75,249.83,126.67,286.6,149.14,145.82,127.2,203.65,59.58,213.09,218.65,246.34,171.09,298.47,254.48,183.4,173.52,129.13,156.1,208.02,157.76,20.31,8.13,27.23
YBL074C_mRNA,22.14,23.84,26.54,14.9,38.12,29.59,0,10.89,9.7,34.95,34.9,34.43,0,0,23.44,19.05,0,15.45,0,0,0,0,45.65,0,0,0,1.43,10.27,6.85,0,0,0,0,0
YKL106W_mRNA,50.46,59.35,57.24,54.97,57.06,51.41,9.69,50.59,50.35,55.77,61.48,59.97,54.63,0,34.69,36.98,48.76,44.31,0,57.33,53.09,30.36,29.1,0,0,0,48.13,84.26,82.46,78.5,78.42,0,14.03,0
YLR027C_mRNA,312.69,362.17,297.55,411.75,360.29,327.82,288.14,292.13,301.62,337.05,355.07,378.57,728.51,205.54,680.55,636.64,400.55,757.69,242.12,342.77,350.82,391.82,892.69,326.77,551.27,903.94,506.94,477.49,439.43,361.89,552.14,371.34,378.58,0
YBR236C_mRNA,36.21,32.02,36.13,42.54,35.18,26.69,31.38,23.55,25.73,32.15,31.73,33.22,53.59,0,19.96,33.59,105.24,17.08,27.81,24.73,36.44,98.27,44.86,0,57.63,148.44,26.6,44.19,45.68,48.41,0,0,0,0
YKL112W_mRNA,25.74,23.5,28.51,24.74,28.19,24.15,16.94,19.5,18.23,19.27,17.17,23.12,55.33,247.88,19.73,19.16,15.98,37.33,0,37.63,53.85,139.24,16.34,34.3,56.11,90.14,24.62,20.37,32.18,55.12,72.55,0,78.13,0
YMR072W_mRNA,104.8,113.65,87.47,137.48,82.84,119.02,115.32,84.08,118.23,107.36,80.5,97.29,155.11,0,210.26,189.9,81.59,141.22,0,88.98,85.62,67.72,166.92,115.88,71.09,0,73.33,186.86,157.92,100.07,195.52,0,31.29,0
