,Q5017_27-32nt,Q5019_27-32nt,Q5020_27-32nt,Q5033_27-32nt,Q5034_27-32nt,Q5035_27-32nt,Q5041_27-32nt,Q5042_27-32nt,Q5043_27-32nt,Q5334_27-32nt,Q5337_27-32nt,Q5338_27-32nt,R4816_27-32nt,R4816_37-43nt,R4816minus_20-23nt,R4816minus_20-32nt,R4816minus_27-32nt,R4819_27-32nt,R4819_37-43nt,R4819minus_20-23nt,R4819minus_20-32nt,R4819minus_27-32nt,R4869_27-32nt,R4869minus_20-23nt,R4869minus_20-32nt,R4869minus_27-32nt,R4870_27-32nt,R4870minus_20-23nt,R4870minus_20-32nt,R4870minus_27-32nt,R4902_27-32nt,R4902_37-43nt,R4903_27-32nt,R4903_37-43nt
YMR056C_mRNA,19,9,4,0,1,5,0,0,0,0,8,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,2,2,0,0,0,0
YBR085W_mRNA,26,30,15,7,4,13.24,4,4,4,16,28,32,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
YJR155W_mRNA,3,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL331C_mRNA,3.44,5.26,0,4,0,1.45,0,0,0,3,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL165C_mRNA,0,2.98,0,2.5,3,0.05,0,2,0,3.98,0,1.34,0,0,2.57,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
YCR107W_mRNA,0,0,1.11,0,0,5.81,0,0,0,3.55,2,1.37,0,0,0,4.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL243C_mRNA,7.64,5.71,2.24,0,6.76,0,0,1,0,0,3,7.07,0,0,0,0,0,0,0,8.98,8.68,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL141W_mRNA,497,685,563,210,324,320,30,132,115,365,524,493,49,5,68.62,79.58,11,58,7,21.08,23.21,0,56,16,31,15,119,56.32,73.57,17,14,0,18,0
YHR047C_mRNA,1503,1511,1183,420,650,665.99,48.98,251,218,950,1315,1344,44,17,111.03,129,18,111,4,64,78,14,71,59,82,23,255,79.15,143.41,64,59,1,2,1
YBL074C_mRNA,73,79,76,22,69,50,0,9,6,75,107,88,0,0,8.32,8.03,0,4,0,0,0,0,9,0,0,0,1,3,3,0,0,0,0,0
YKL106W_mRNA,203,240,200,99,126,106,3,51,38,146,230,187,11,0,15,19,4,14,0,10,11,1,7,0,0,0,41,30,44,14,17,0,2,0
YLR027C_mRNA,1072,1248,886,632,678,576,76,251,194,752,1132,1006,125,6,251,279,28,204,8,51,62,11,183,32,88,56,368,145,199.99,55,102,9,46,0
YBR236C_mRNA,135,120,117,71,72,51,9,22,18,78,110,96,10,0,8,16,8,5,1,4,7,3,10,0,10,10,21,14.59,22.6,8,0,0,0,0
YKL112W_mRNA,158,145,152,68,95,76,8,30,21,77,98,110,17,13,13,15,2,18,0,10,17,7,6,6,16,10,32,11.05,26.16,15,24,0,17,0
YMR072W_mRNA,189,206,137,111,82,110,16,38,40,126,135,136,14,0,41,44,3,20,0,7,8,1,18,6,6,0,28,30,38,8,19,0,2,0
YJR108W_mRNA,3,4,2,4,4,5,0,0,0,7,7,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
YCR088W_mRNA,412,361,256,185,214,198,24,68,76,227,278,263,58,0,91,111.99,21,78,11,41,42,1,37,15,15,0,161,70,97,27,32,0,36,1
YOR239W_pre-mRNA,292,263,208,102,161,132,14,70,48,161,221,211,17,4,48,54,6,45,3,18,19,1,21,30,35,5,87,32,44,12,19,0,36,1
YNR033W_mRNA,233,223,145,82,130,102,7,42,35,119,150,157,5,0,26,30,4,14,0,10,10,0,8,0,4,4,53,27,30.01,3,11,0,12,0
YMR289W_mRNA,71,66,37,20,24,39,0,12,8,28,53,53,0,2,18.87,18.25,0,0,6,3,3,0,12,1,1,0,16,3,3,0,0,0,9,0
YER045C_mRNA,11,12,10,10,18,5,0,2,3,10,20,18,2,0,4,4,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0
YGR037C_mRNA,516,623,509,278,386,296,64,184,189,437,590,521,65,6,70,100,30,82,11,24,24,0,95,26,40,14,246,66,117,51,60,1,72,17
YNR016C_mRNA,8415,9066,7772,3714,4900.01,4233,457,1902,1438,5610,7908,6935,286,39,707.99,849.97,142,451,40,278.19,337.33,59,436,236,384,148,1339,587.17,831.53,244,297,18,190,11
YLR131C_mRNA,117,146,105,80,58,74,5,28,16,85,116,102,18,0,10,12,2,4,7,0,0,0,1,0,0,0,43,8,13,5,2,0,0,0
YLR144C_mRNA,125,139,88,56,86,63,15,22,14,86,120,142,0,0,15,18,3,27,0,2,6,4,13,0,0,0,36,14,19,5,10,0,5,0
YJR083C_mRNA,39,31,26,15,11,14,5,3,7,18,27,19,2,0,5,5,0,8,5,0,0,0,0,1,1,0,10,0,4,4,0,0,0,0
YBL015W_mRNA,166,193,145,61,97,130,9,30,24,96,139,139,16.93,2,32.03,36.02,4,34,0,17,31,14,23,0,15,15,47,15,28.03,13,19,0,19,0
YDL203C_mRNA,44,65,61,14,35,15,3,8,10,34,68,58,8,4,18,24,6,2,1,8.04,8.08,0,0,0,0,0,17,5,12,7,25,0,0,0
YPL267W_mRNA,50,39,24,33,24,24,0,6,7,25,26,31,10,0,7.58,8.77,1,2,0,6,12,6,4,0,8,8,10,4,5,1,0,0,0,1
YLR304C_mRNA,3513,2816,2093.99,1652.91,2122,2156,139,508,408,2272,3519,3426,124,30,383,429.99,47,262,11,181.37,197.85,16,161,42,52,10,360,173,260,87,196,1,110,4
YJL200C_mRNA,610,612,468.01,284,361,352,36,142,123,421,669,641,31,8,51.66,60.67,9,29,8,42,47,5,31,19,62,43,115,60,90,30,14,0,14,0
YKL192C_mRNA,411,258,264,188,154,162,24,80,43,169,210,213,38,0,60,69,9,80,5,25,25,0,25,21,21,0,140,64,94,30,23,0,21,0
YAL054C_mRNA,10,9,3,3,1,5,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLR153C_mRNA,3032,2776,2136,1178,1451,1457,95,476,458,1597,2386,2287,153,36,450.99,557.16,107,220,30,214,288,74,193,119.97,201.95,82,777,370,535,165,212,9,98,2
