transcript_id	gene_id	length	parent_name	l_utr5	l_utr3	l_cds
YMR056C_mRNA	AAC1	1200	YMR056C	97	176	927
YBR085W_mRNA	AAC3	1199	YBR085W	109	169	921
YJR155W_mRNA	AAD10	1137	YJR155W	97	176	864
YNL331C_mRNA	AAD14	1401	YNL331C	97	176	1128
YOL165C_mRNA	AAD15	702	YOL165C	97	176	429
YCR107W_mRNA	AAD3	1362	YCR107W	97	176	1089
YDL243C_mRNA	AAD4	1260	YDL243C	97	176	987
YNL141W_mRNA	AAH1	1202	YNL141W	34	127	1041
YHR047C_mRNA	AAP1	2784	YHR047C	73	143	2568
YBL074C_mRNA	AAR2	1338	YBL074C	97	176	1065
YKL106W_mRNA	AAT1	1626	YKL106W	97	176	1353
YLR027C_mRNA	AAT2	1390	YLR027C	28	108	1254
YBR236C_mRNA	ABD1	1509	YBR236C	47	154	1308
YKL112W_mRNA	ABF1	2466	YKL112W	97	176	2193
YMR072W_mRNA	ABF2	745	YMR072W	43	153	549
YJR108W_mRNA	ABM1	642	YJR108W	97	176	369
YCR088W_mRNA	ABP1	1939	YCR088W	46	117	1776
YOR239W_pre-mRNA	ABP140	2163	YOR239W	NA	NA	NA
YNR033W_mRNA	ABZ1	2634	YNR033W	97	176	2361
YMR289W_mRNA	ABZ2	1395	YMR289W	97	176	1122
YER045C_mRNA	ACA1	1843	YER045C	259	117	1467
YGR037C_mRNA	ACB1	610	YGR037C	84	265	261
YNR016C_mRNA	ACC1	6972	YNR016C	97	176	6699
YLR131C_mRNA	ACE2	2583	YLR131C	97	176	2310
YLR144C_mRNA	ACF2	2610	YLR144C	97	176	2337
YJR083C_mRNA	ACF4	1200	YJR083C	97	176	927
YBL015W_mRNA	ACH1	1851	YBL015W	97	176	1578
YDL203C_mRNA	ACK1	2142	YDL203C	97	176	1869
YPL267W_mRNA	ACM1	712	YPL267W	15	70	627
YLR304C_mRNA	ACO1	2607	YLR304C	97	176	2334
YJL200C_mRNA	ACO2	2640	YJL200C	97	176	2367
YKL192C_mRNA	ACP1	575	YKL192C	60	140	375
YAL054C_mRNA	ACS1	2412	YAL054C	97	176	2139
YLR153C_mRNA	ACS2	2442	YLR153C	123	270	2049
YFL039C_mRNA	ACT1	1572	YFL039C	187	260	1125
YFL039C_pre-mRNA	ACT1	1881	YFL039C	187	260	1434
YDR448W_mRNA	ADA2	1575	YDR448W	97	176	1302
YMR184W_mRNA	ADD37	691	YMR184W	48	49	594
YKL206C_mRNA	ADD66	928	YKL206C	35	92	801
YAR015W_mRNA	ADE1	1137	YAR015W	116	103	918
YNL220W_mRNA	ADE12	1501	YNL220W	106	96	1299
YLR359W_mRNA	ADE13	1679	YLR359W	96	137	1446
YLR028C_mRNA	ADE16	2124	YLR028C	217	134	1773
YMR120C_mRNA	ADE17	2007	YMR120C	65	166	1776
YOR128C_mRNA	ADE2	1841	YOR128C	71	57	1713
YGR204W_mRNA	ADE3	2993	YGR204W	51	104	2838
YMR300C_mRNA	ADE4	1880	YMR300C	200	150	1530
YGL234W_mRNA	ADE5%2C7	2615	YGL234W	96	113	2406
YGR061C_mRNA	ADE6	4347	YGR061C	97	176	4074
YDR408C_mRNA	ADE8	827	YDR408C	46	139	642
YCL058W-A_mRNA	ADF1	429	YCL058W-A	22	68	339
YOL086C_mRNA	ADH1	1402	YOL086C	279	79	1044
YMR303C_mRNA	ADH2	1317	YMR303C	97	176	1044
YMR083W_mRNA	ADH3	1810	YMR083W	588	97	1125
YGL256W_mRNA	ADH4	1815	YGL256W	489	180	1146
YBR145W_mRNA	ADH5	1219	YBR145W	62	104	1053
YMR318C_mRNA	ADH6	1346	YMR318C	167	99	1080
YCR105W_mRNA	ADH7	1356	YCR105W	97	176	1083
YMR009W_mRNA	ADI1	687	YMR009W	67	83	537
YDR226W_mRNA	ADK1	879	YDR226W	75	138	666
YER170W_mRNA	ADK2	1049	YER170W	23	351	675
YJR105W_mRNA	ADO1	1111	YJR105W	43	48	1020
YCR011C_mRNA	ADP1	3358	YCR011C	151	60	3147
YDR216W_mRNA	ADR1	4242	YDR216W	97	176	3969
YCR010C_mRNA	ADY2	1122	YCR010C	97	176	849
YDL239C_mRNA	ADY3	2643	YDL239C	97	176	2370
YLR227C_mRNA	ADY4	1752	YLR227C	97	176	1479
YMR064W_mRNA	AEP1	1827	YMR064W	97	176	1554
YMR282C_mRNA	AEP2	2013	YMR282C	97	176	1740
YPL005W_mRNA	AEP3	2091	YPL005W	97	176	1818
YLR040C_mRNA	AFB1	893	YLR040C	80	141	672
YEL052W_mRNA	AFG1	1624	YEL052W	35	62	1527
YLR397C_mRNA	AFG2	2511	YLR397C	32	139	2340
YER017C_mRNA	AFG3	2556	YER017C	97	176	2283
YOR129C_mRNA	AFI1	2963	YOR129C	78	206	2679
YDR085C_mRNA	AFR1	2133	YDR085C	97	176	1860
YGL071W_mRNA	AFT1	2343	YGL071W	97	176	2070
YPL202C_mRNA	AFT2	1718	YPL202C	70	400	1248
YNR044W_mRNA	AGA1	2448	YNR044W	97	176	2175
YGL032C_mRNA	AGA2	524	YGL032C	160	103	261
YPR021C_mRNA	AGC1	2979	YPR021C	97	176	2706
YDR524C_mRNA	AGE1	1719	YDR524C	97	176	1446
YIL044C_mRNA	AGE2	1103	YIL044C	35	174	894
YCL025C_mRNA	AGP1	2026	YCL025C	31	96	1899
YBR132C_mRNA	AGP2	2061	YBR132C	97	176	1788
YFL055W_mRNA	AGP3	1947	YFL055W	97	176	1674
YFL030W_mRNA	AGX1	1250	YFL030W	4	91	1155
YDR214W_mRNA	AHA1	1275	YDR214W	132	93	1050
YOR023C_mRNA	AHC1	1971	YOR023C	97	176	1698
YCR082W_mRNA	AHC2	581	YCR082W	41	156	384
YLR109W_mRNA	AHP1	821	YLR109W	200	93	528
YHR093W_mRNA	AHT1	819	YHR093W	97	176	546
YNR074C_mRNA	AIF1	1407	YNR074C	97	176	1134
YAL046C_mRNA	AIM1	527	YAL046C	48	125	354
YER087W_mRNA	AIM10	1874	YER087W	75	71	1728
YER093C-A_mRNA	AIM11	684	YER093C-A	97	176	411
YER093C-A_pre-mRNA	AIM11	759	YER093C-A	97	176	486
YGL160W_mRNA	AIM14	1970	YGL160W	123	137	1710
YHL021C_mRNA	AIM17	1668	YHL021C	97	176	1395
YHR198C_mRNA	AIM18	1184	YHR198C	97	124	963
YIL087C_mRNA	AIM19	657	YIL087C	82	104	471
YAL049C_mRNA	AIM2	961	YAL049C	101	122	738
YIL158W_mRNA	AIM20	727	YIL158W	11	104	612
YIR003W_mRNA	AIM21	2173	YIR003W	63	73	2037
YJL046W_mRNA	AIM22	1500	YJL046W	97	176	1227
YJL131C_mRNA	AIM23	1341	YJL131C	97	176	1068
YJR080C_mRNA	AIM24	1455	YJR080C	97	176	1182
YJR100C_mRNA	AIM25	1127	YJR100C	60	86	981
YKL037W_mRNA	AIM26	627	YKL037W	97	176	354
YKR074W_mRNA	AIM29	685	YKR074W	44	176	465
YBR108W_mRNA	AIM3	3114	YBR108W	97	176	2841
YML050W_mRNA	AIM32	1206	YML050W	97	176	933
YML087C_mRNA	AIM33	1050	YML087C	21	93	936
YMR003W_mRNA	AIM34	704	YMR003W	32	78	594
YMR157C_mRNA	AIM36	1038	YMR157C	97	176	765
YOL053W_mRNA	AIM39	1458	YOL053W	97	176	1185
YBR194W_mRNA	AIM4	642	YBR194W	97	176	369
YOR215C_mRNA	AIM41	916	YOR215C	41	320	555
YPL158C_mRNA	AIM44	2415	YPL158C	70	71	2274
YPR004C_mRNA	AIM45	1136	YPR004C	65	39	1032
YHR199C_mRNA	AIM46	1203	YHR199C	97	176	930
